Year_Scope;Andritz AG;Austria Technologie & Systemtechnik AG;BAWAG Group AG;CA Immobilien Anlagen AG;Do & Co AG;Erste Group Bank AG;EVN AG;"Immofinanz AG";Lenzing AG;Mayr-Melnhof Karton AG;OMV AG;Österreichische Post AG;Raiffeisen Bank International AG;Schoeller-Bleckmann Oilfield Equipment AG;STRABAG SE;Uniqa Insurance Group AG;Verbund AG;Vienna Insurance Group AG;Voestalpine AG;Wienerberger AG
2015_scope1;na;na;739;na;na;na;na;"na";1190000;na;12200000;na;8476;na;892154;na;1737000;na;11700000;na
2015_scope2;na;na;na;na;na;na;na;"na";na;na;na;na;7150;na;205827;na;na;na;na;na
2015_scope3;na;na;519;na;na;na;na;"na";na;na;112000000;na;23506;na;na;na;314000;na;na;na
2016_scope1;na;na;580;na;na;22630;2839782;"na";1170000;500000;11000000;na;6027;na;836246;na;1007000;na;12752740;na
2016_scope2;na;na;6205;na;na;54377;992164;"na";590000;na;400000;na;26890;na;220352;na;273000;na;na;na
2016_scope3;na;na;697;na;na;4476;7680936;"na";na;na;113000000;na;27318;na;na;na;255000;na;na;na
2017_scope1;23655;na;1223;9589;na;27967;2573847;"na";1160000;500000;11100000;na;6270;na;876651;4436;1358000;na;14300000;na
2017_scope2;na;na;6660;42411;na;na;919905;"na";630000;na;300000;na;26203;na;234965;3462;312000;na;na;na
2017_scope3;na;na;1200;na;na;3357;7224874;"na";1890000;na;108000000;27421;21226;na;na;406;378000;na;na;na
2018_scope1;22591;na;889;9558;na;23297;2726185;"298000";1150000;500000;11200000;54032;7696;na;844209;3771;1070000;na;12680000;1419000
2018_scope2;na;na;7456;na;na;35114;984394;381000;600000;na;400000;8756;57613;na;214726;6015;411000;na;820000;na
2018_scope3;na;11100;1718;na;na;na;7540215;103646;1990000;na;108000000;29573;42535;na;na;374;327000;na;10520000;na
2019_scope1;23160;25907;1405;11586;12557,9;29950;1565571;253000;1100000;530000;10800000;61407;7455;na;833816;4134;1073000;16213;13610000;2604000
2019_scope2;75798;407393;1652;38209;na;na;1416404;"na";530000;na;400000;10033;54545;na;177387;3314;312000;18714;940000;na
2019_scope3;na;402400;3086;30150;2006;na;8442620;111033;1900000;na;126100000;34106;41345;na;na;622;704000;932;9340000;na
2020_scope1;25968;29357;1467;9474;4234,1;24929;1875446;15899;880000;530000;10900000;58126;6441;2143;738708;3113;654000;13512;12400000;2353300
2020_scope2;108149;456543;1725;36859;na;na;1488842;"na";500000;na;300000;9461;51191;na;150109;3911;265000;15022;640000;296200
2020_scope3;na;431500;378;30676;1851;na;8462631;;1460000;na;117700000;47923;34244;na;na;91;4317000;118;9470000;na
2021_scope1;28205;30700;1636;9487;7757;21530;1123508;16885;1080000;1290000;13500000;71248;4827;2798;768433;4510;454000;14210;14500000;2483500
2021_scope2;104513;229000;1163;18591;na;22884;1268725;90318;530000;630000;1100000;17228;46626;9408;124521;4974;255000;14136;730000;175600
2021_scope3;na;1603600;114;52131;1167,1;na;8371656;"na";1820000;2200000;156400000;141532;30925;na;na;80;3948000;179;12010000;na
2022_scope1;20102;30500;1504;9487;7757;20707;1123508;2397;920000;1080000;11700000;71034;6060;4180;809104;3901;585000;15149;12710000;2767700
2022_scope2;82341;546000;1082;18591;na;18686;1268725;7576;350000;810000;900000;9811;40212;9643;147120;3938;278000;14471;480000;155200
2022_scope3;na;1599200;182;52131;1167,1;18133;8371656;165663;1450000;2590000;132800000;153008;29656;na;na;385;5228000;673;11310000;na
