date;Biomass;Fossil Gas;Fossil Oil;Hydro Pumped Storage;Hydro Run-of-river and poundage;Hydro Water Reservoir;Waste;Solar;Wind Onshore
2022-09-24T16:30:00+00:00;12;1539;0;2142;2770;714;100;20;88
2022-09-24T16:45:00+00:00;12;1520;0;2157;2807;691;100;16;92
2022-09-24T17:00:00+00:00;12;1541;0;2259;2792;733;100;4;96
2022-09-24T17:15:00+00:00;12;1545;0;2366;2720;748;100;0;104
2022-09-24T17:30:00+00:00;12;1540;0;2426;2731;812;100;0;108
2022-09-24T17:45:00+00:00;12;1547;0;2401;2732;827;100;0;120
2022-09-24T18:00:00+00:00;12;1554;0;2408;2750;822;100;0;148
2022-09-24T18:15:00+00:00;12;1566;0;2258;2772;938;100;0;172
2022-09-24T18:30:00+00:00;12;1576;0;2239;2780;747;100;0;188
2022-09-24T18:45:00+00:00;12;1581;0;2049;2805;700;100;0;224
2022-09-24T19:00:00+00:00;12;1601;0;1691;2855;647;100;0;256
2022-09-24T19:15:00+00:00;12;1652;0;1359;2860;582;100;0;284
2022-09-24T19:30:00+00:00;12;1655;0;1168;2826;559;100;0;320
2022-09-24T19:45:00+00:00;12;1671;0;930;2828;543;100;0;320
2022-09-24T20:00:00+00:00;12;1654;0;787;2823;504;100;0;320
2022-09-24T20:15:00+00:00;12;1646;0;537;2804;612;100;0;320
2022-09-24T20:30:00+00:00;12;1627;0;458;2788;566;100;0;288
2022-09-24T20:45:00+00:00;12;1624;0;456;2766;522;100;0;260
2022-09-24T21:00:00+00:00;12;1600;0;417;2769;480;100;0;248
2022-09-24T21:15:00+00:00;12;1600;0;157;2792;348;100;0;236
2022-09-24T21:30:00+00:00;12;1610;0;90;2802;328;100;0;212
2022-09-24T21:45:00+00:00;12;1596;0;54;2768;311;100;0;172
2022-09-24T22:00:00+00:00;12;1609;0;0;2779;316;100;0;124
2022-09-24T22:15:00+00:00;12;1398;0;0;2889;215;100;0;108
2022-09-24T22:30:00+00:00;12;974;0;0;2922;194;100;0;92
2022-09-24T22:45:00+00:00;12;612;0;0;2999;194;100;0;88
2022-09-24T23:00:00+00:00;12;495;0;0;3003;185;100;0;88
2022-09-24T23:15:00+00:00;12;452;0;0;3030;132;100;0;88
2022-09-24T23:30:00+00:00;12;371;0;0;3036;117;100;0;88
2022-09-24T23:45:00+00:00;12;334;0;0;3047;115;100;0;92
2022-09-25T00:00:00+00:00;12;335;0;0;3028;113;100;0;100
2022-09-25T00:15:00+00:00;12;318;0;0;2997;228;100;0;84
2022-09-25T00:30:00+00:00;12;283;0;0;2960;213;100;0;76
2022-09-25T00:45:00+00:00;12;272;0;0;2929;231;100;0;80
2022-09-25T01:00:00+00:00;12;272;0;0;2913;195;100;0;80
2022-09-25T01:15:00+00:00;12;278;0;0;2986;181;100;0;84
2022-09-25T01:30:00+00:00;12;281;0;0;3001;169;100;0;100
2022-09-25T01:45:00+00:00;12;278;0;0;2946;202;100;0;112
2022-09-25T02:00:00+00:00;12;276;0;0;2916;197;100;0;128
2022-09-25T02:15:00+00:00;12;276;0;0;2906;174;100;0;148
2022-09-25T02:30:00+00:00;12;276;0;0;2913;154;100;0;144
2022-09-25T02:45:00+00:00;12;278;0;0;2906;207;100;0;140
2022-09-25T03:00:00+00:00;12;276;0;0;2886;210;100;0;136
2022-09-25T03:15:00+00:00;12;275;0;0;2860;269;100;0;136
2022-09-25T03:30:00+00:00;12;276;0;0;2867;220;100;0;140
2022-09-25T03:45:00+00:00;12;276;0;0;2876;297;100;0;116
2022-09-25T04:00:00+00:00;12;278;0;0;2892;256;100;0;96
2022-09-25T04:15:00+00:00;12;285;0;0;2922;181;100;0;84
2022-09-25T04:30:00+00:00;12;282;0;0;2900;167;100;0;84
2022-09-25T04:45:00+00:00;12;280;0;0;2988;194;100;0;104
2022-09-25T05:00:00+00:00;12;280;0;0;2997;243;100;4;128
2022-09-25T05:15:00+00:00;12;261;0;0;2964;356;100;12;108
2022-09-25T05:30:00+00:00;12;258;0;65;2944;526;100;16;80
