date;Biomass;Fossil Gas;Fossil Oil;Hydro Pumped Storage;Hydro Run-of-river and poundage;Hydro Water Reservoir;Waste;Solar;Wind Onshore
2021-01-01T00:15:00+00:00;180;1711;0;90;1740;281;100;0;136
2021-01-01T00:30:00+00:00;180;1648;0;103;1719;216;100;0;120
2021-01-01T00:45:00+00:00;180;1650;0;103;1728;162;100;0;112
2021-01-01T01:00:00+00:00;180;1654;0;106;1720;110;100;0;100
2021-01-01T01:15:00+00:00;180;1654;0;117;1690;155;100;0;76
2021-01-01T01:30:00+00:00;180;1652;0;87;1687;112;100;0;68
2021-01-01T01:45:00+00:00;180;1632;0;82;1685;111;100;0;68
2021-01-01T02:00:00+00:00;180;1616;0;58;1678;118;100;0;80
2021-01-01T02:15:00+00:00;180;1520;0;33;1693;104;100;0;96
2021-01-01T02:30:00+00:00;180;1496;0;23;1694;100;100;0;88
2021-01-01T02:45:00+00:00;180;1489;0;11;1703;100;100;0;76
2021-01-01T03:00:00+00:00;180;1489;0;1;1712;96;100;0;68
2021-01-01T03:15:00+00:00;180;1471;0;0;1716;96;100;0;76
2021-01-01T03:30:00+00:00;180;1428;0;0;1707;74;100;0;76
2021-01-01T03:45:00+00:00;180;1442;0;0;1708;86;100;0;72
2021-01-01T04:00:00+00:00;180;1472;0;0;1705;96;100;0;76
2021-01-01T04:15:00+00:00;180;1536;0;0;1684;147;100;0;76
2021-01-01T04:30:00+00:00;180;1529;0;0;1681;83;100;0;64
2021-01-01T04:45:00+00:00;180;1548;0;0;1674;104;100;0;60
2021-01-01T05:00:00+00:00;180;1565;0;0;1664;110;100;0;60
2021-01-01T05:15:00+00:00;180;1593;0;0;1675;84;100;0;60
2021-01-01T05:30:00+00:00;180;1585;0;0;1674;145;100;0;60
2021-01-01T05:45:00+00:00;180;1603;0;0;1686;183;100;0;48
2021-01-01T06:00:00+00:00;180;1639;0;0;1690;216;100;0;32
2021-01-01T06:15:00+00:00;180;1721;0;5;1687;210;100;0;24
2021-01-01T06:30:00+00:00;180;1786;0;0;1724;146;100;0;24
2021-01-01T06:45:00+00:00;180;1787;0;0;1771;124;100;0;36
2021-01-01T07:00:00+00:00;180;1798;0;0;1810;126;100;4;40
2021-01-01T07:15:00+00:00;180;1850;0;115;1818;113;100;4;28
2021-01-01T07:30:00+00:00;180;1834;0;109;1817;122;100;4;28
2021-01-01T07:45:00+00:00;180;1856;0;122;1822;109;100;8;24
2021-01-01T08:00:00+00:00;180;1870;0;158;1810;131;100;8;28
2021-01-01T08:15:00+00:00;180;1910;0;176;1778;164;100;20;28
2021-01-01T08:30:00+00:00;180;1925;0;173;1786;172;100;28;20
2021-01-01T08:45:00+00:00;180;1918;0;189;1800;157;100;40;12
2021-01-01T09:00:00+00:00;180;1938;0;190;1796;182;100;48;8
2021-01-01T09:15:00+00:00;180;1922;0;154;1827;168;100;64;8
2021-01-01T09:30:00+00:00;180;1915;0;174;1842;170;100;76;12
2021-01-01T09:45:00+00:00;180;1942;0;178;1851;180;100;88;16
2021-01-01T10:00:00+00:00;180;1973;0;177;1855;161;100;100;16
2021-01-01T10:15:00+00:00;180;1957;0;211;1860;163;100;108;16
2021-01-01T10:30:00+00:00;180;1960;0;221;1861;198;100;116;20
2021-01-01T10:45:00+00:00;180;1967;0;218;1864;182;100;124;32
2021-01-01T11:00:00+00:00;180;1991;0;238;1844;199;100;132;24
2021-01-01T11:15:00+00:00;180;2019;0;196;1906;215;100;132;8
2021-01-01T11:30:00+00:00;180;2032;0;175;1937;119;100;136;4
2021-01-01T11:45:00+00:00;180;2024;0;178;1946;203;100;136;4
2021-01-01T12:00:00+00:00;184;2030;0;163;1939;128;100;136;4
2021-01-01T12:15:00+00:00;184;1973;0;206;1935;168;100;132;16
2021-01-01T12:30:00+00:00;184;1963;0;200;1942;135;100;128;24
2021-01-01T12:45:00+00:00;184;1965;0;145;1985;129;100;124;28
2021-01-01T13:00:00+00:00;184;1971;0;117;2007;116;100;116;32
2021-01-01T13:15:00+00:00;184;1961;0;126;1961;163;100;104;40
2021-01-01T13:30:00+00:00;184;1950;0;158;1959;164;100;92;36
2021-01-01T13:45:00+00:00;184;1920;0;119;1969;105;100;84;32
2021-01-01T14:00:00+00:00;184;1914;0;133;1957;85;100;72;36
2021-01-01T14:15:00+00:00;184;1941;0;140;1960;107;100;56;48
2021-01-01T14:30:00+00:00;184;1946;0;138;1951;118;100;44;56
2021-01-01T14:45:00+00:00;184;1928;0;127;1959;178;100;28;76
2021-01-01T15:00:00+00:00;184;1954;0;201;1981;204;100;16;72
2021-01-01T15:15:00+00:00;184;1978;0;210;1993;156;100;12;52
2021-01-01T15:30:00+00:00;184;1967;0;216;2023;189;100;8;48
2021-01-01T15:45:00+00:00;184;1969;0;212;2060;274;100;4;48
2021-01-01T16:00:00+00:00;184;1968;0;516;2052;326;100;0;44
2021-01-01T16:15:00+00:00;184;1934;0;1173;2166;359;100;0;44
2021-01-01T16:30:00+00:00;184;1921;0;1154;2204;379;100;0;44
2021-01-01T16:45:00+00:00;184;1925;0;1156;2274;373;100;0;56
2021-01-01T17:00:00+00:00;184;1922;0;1150;2298;380;100;0;56
2021-01-01T17:15:00+00:00;184;1918;0;1254;2281;472;100;0;48
2021-01-01T17:30:00+00:00;184;1933;0;1220;2278;422;100;0;52
2021-01-01T17:45:00+00:00;184;1940;0;1217;2282;401;100;0;52
2021-01-01T18:00:00+00:00;184;1948;0;1182;2274;348;100;0;60
2021-01-01T18:15:00+00:00;184;1958;0;1115;2302;375;100;0;60
2021-01-01T18:30:00+00:00;184;1977;0;1111;2297;330;100;0;68
2021-01-01T18:45:00+00:00;184;1982;0;1147;2237;301;100;0;72
2021-01-01T19:00:00+00:00;184;1993;0;1092;2236;299;100;0;60
2021-01-01T19:15:00+00:00;184;1998;0;750;2173;375;100;0;48
2021-01-01T19:30:00+00:00;184;2009;0;600;2149;322;100;0;40
2021-01-01T19:45:00+00:00;184;2038;0;595;2132;247;100;0;36
2021-01-01T20:00:00+00:00;184;2041;0;528;2128;229;100;0;28
2021-01-01T20:15:00+00:00;184;2051;0;263;2120;348;100;0;24
2021-01-01T20:30:00+00:00;184;2059;0;187;2105;196;100;0;24
2021-01-01T20:45:00+00:00;184;2069;0;118;2104;92;100;0;28
2021-01-01T21:00:00+00:00;184;2071;0;97;2100;82;100;0;20
2021-01-01T21:15:00+00:00;184;2061;0;72;2048;77;100;0;12
2021-01-01T21:30:00+00:00;184;2064;0;61;1988;68;100;0;8
2021-01-01T21:45:00+00:00;184;2075;0;70;1912;81;100;0;8
2021-01-01T22:00:00+00:00;184;2087;0;83;1885;78;100;0;8
2021-01-01T22:15:00+00:00;184;2107;0;78;1844;114;100;0;4
2021-01-01T22:30:00+00:00;184;2110;0;84;1822;68;100;0;8
