date;Biomass;Fossil Gas;Fossil Oil;Hydro Pumped Storage;Hydro Run-of-river and poundage;Hydro Water Reservoir;Waste;Solar;Wind Onshore
2022-01-01T00:00:00+00:00;13096;9203;0;9790;373766;21567;9500;2932;179440
2022-01-02T00:00:00+00:00;13420;9237;0;8322;366940;17776;9600;3600;34928
2022-01-03T00:00:00+00:00;13056;94965;0;61477;320502;21266;9600;2700;163144
2022-01-04T00:00:00+00:00;12900;147734;0;73791;308375;37690;9600;2224;91008
2022-01-05T00:00:00+00:00;12140;100047;0;36909;326813;24885;9600;1168;137156
2022-01-06T00:00:00+00:00;12168;143140;0;80298;312581;27923;9600;3400;179612
2022-01-07T00:00:00+00:00;12208;163133;0;46997;292297;21717;9600;4216;59640
2022-01-08T00:00:00+00:00;12288;187229;0;15683;268492;11436;9600;2768;36732
2022-01-09T00:00:00+00:00;12276;149711;0;21483;263816;18527;9600;2524;42268
2022-01-10T00:00:00+00:00;11904;247565;0;123134;248549;50632;9600;2644;116580
2022-01-11T00:00:00+00:00;11916;306886;0;34165;235603;39926;9600;4064;217884
2022-01-12T00:00:00+00:00;12300;272335;0;69565;230723;50490;9600;4032;167128
2022-01-13T00:00:00+00:00;12496;266635;0;37019;219673;31138;9600;3600;125248
2022-01-14T00:00:00+00:00;12672;253963;0;82489;213081;44897;9600;4652;212708
2022-01-15T00:00:00+00:00;12672;246601;0;71765;211635;38494;9600;4176;74836
2022-01-16T00:00:00+00:00;12460;187640;0;26571;207926;29916;9600;3896;88852
2022-01-17T00:00:00+00:00;12640;203222;0;63392;196749;37403;9600;2908;258020
2022-01-18T00:00:00+00:00;12604;257048;0;82316;197876;53981;9600;4192;164764
2022-01-19T00:00:00+00:00;12588;304619;0;68881;197634;31105;9600;4724;34676
2022-01-20T00:00:00+00:00;12648;250816;0;17200;190855;27995;9600;2992;199620
2022-01-21T00:00:00+00:00;11916;255588;0;36621;185487;28535;9600;4404;246580
2022-01-22T00:00:00+00:00;12132;246115;0;42926;181692;48548;9600;3276;173948
2022-01-23T00:00:00+00:00;12252;251332;0;31161;179212;33081;9600;3696;75680
2022-01-24T00:00:00+00:00;11904;261015;0;167907;187847;70277;9600;3964;4004
2022-01-25T00:00:00+00:00;11904;264152;0;170317;208163;72132;9600;4388;53088
2022-01-26T00:00:00+00:00;11920;283432;0;142987;211227;57466;9600;4968;93544
2022-01-27T00:00:00+00:00;11892;270945;0;66970;198558;27017;9600;5052;120904
2022-01-28T00:00:00+00:00;11868;273683;0;94443;189875;33717;9600;3968;257700
2022-01-29T00:00:00+00:00;12056;206930;0;13328;186938;22969;9600;3760;127672
2022-01-30T00:00:00+00:00;12276;119772;0;12573;195412;17447;9600;4932;267488
2022-01-31T00:00:00+00:00;11856;294671;0;119730;196123;47417;9600;2816;104508
2022-02-01T00:00:00+00:00;11740;328084;0;96306;202525;28433;9600;3988;167500
2022-02-02T00:00:00+00:00;11732;303865;0;47297;212128;20733;9600;4068;259184
2022-02-03T00:00:00+00:00;11860;302179;0;35049;219015;18515;9600;5188;134048
2022-02-04T00:00:00+00:00;11892;314295;0;71160;215285;24362;9600;5560;45028
2022-02-05T00:00:00+00:00;12024;180802;0;9423;218819;14048;9600;6940;161336
2022-02-06T00:00:00+00:00;12212;185091;0;4463;206729;12331;9600;5792;110200
2022-02-07T00:00:00+00:00;11904;256478;0;62193;231588;20681;9600;4124;247532
2022-02-08T00:00:00+00:00;11916;200549;0;32507;239477;14642;9600;6116;222388
2022-02-09T00:00:00+00:00;12288;179149;0;110494;242554;32765;9600;7120;84888
2022-02-10T00:00:00+00:00;12064;254933;0;133482;237399;37789;9600;7240;29856
2022-02-11T00:00:00+00:00;11632;235167;0;87744;235062;25861;9600;3740;144436
2022-02-12T00:00:00+00:00;11824;201756;0;19250;224459;12298;9600;8280;87676
2022-02-13T00:00:00+00:00;12024;84979;0;1333;209814;10658;9600;9352;205216
2022-02-14T00:00:00+00:00;11828;169648;0;99838;201766;31789;9600;7764;133568
2022-02-15T00:00:00+00:00;12140;248206;0;133081;206113;46083;9600;3004;16864
2022-02-16T00:00:00+00:00;12144;226911;0;74042;206842;34019;9600;6724;105444
2022-02-17T00:00:00+00:00;11904;137626;0;19766;249995;23379;9600;6456;227424
2022-02-18T00:00:00+00:00;11820;135885;0;36431;300343;31919;9600;7996;129348
2022-02-19T00:00:00+00:00;9312;84095;0;2821;303307;17179;9600;8188;203460
2022-02-20T00:00:00+00:00;8848;66772;0;2553;283871;15133;9600;6960;135888
2022-02-21T00:00:00+00:00;8564;121736;0;34946;269862;24322;9600;5384;146560
2022-02-22T00:00:00+00:00;8448;151211;0;57693;254132;22721;9600;6564;192252
2022-02-23T00:00:00+00:00;8520;190247;0;71626;255334;24318;9600;8180;150104
2022-02-24T00:00:00+00:00;8500;103387;0;38471;255937;17275;9600;9196;136264
2022-02-25T00:00:00+00:00;8752;72240;0;52164;244713;19640;9600;7792;145400
2022-02-26T00:00:00+00:00;8800;156007;0;33629;226880;19892;9600;7560;152216
2022-02-27T00:00:00+00:00;8896;122657;0;18222;213485;11107;9600;10080;96068
2022-02-28T00:00:00+00:00;8604;256216;0;74878;197038;22379;9600;7456;138008
2022-03-01T00:00:00+00:00;8832;245150;0;109876;195174;33666;9600;10264;48928
2022-03-02T00:00:00+00:00;8832;250865;0;129263;196037;32045;9600;10320;67688
2022-03-03T00:00:00+00:00;8808;189142;0;147307;203615;44133;9600;10712;61052
2022-03-04T00:00:00+00:00;8052;277754;0;103843;198538;38863;9600;8772;111076
2022-03-05T00:00:00+00:00;7652;239957;0;48475;186981;32184;9600;9792;41444
2022-03-06T00:00:00+00:00;7656;183434;0;14746;175801;25306;9600;11456;63060
2022-03-07T00:00:00+00:00;7308;235665;0;112998;180290;48746;9600;10028;141844
2022-03-08T00:00:00+00:00;7164;210214;0;85548;176268;35949;9600;11468;81552
2022-03-09T00:00:00+00:00;7308;236778;0;53595;176040;17201;9600;12076;94728
2022-03-10T00:00:00+00:00;7428;226798;0;61013;164415;14918;9600;11824;93420
2022-03-11T00:00:00+00:00;7324;219406;0;72473;158793;15393;9600;12900;76252
2022-03-12T00:00:00+00:00;7692;171200;0;6892;158651;9525;9600;14224;162372
2022-03-13T00:00:00+00:00;7668;175186;0;2464;157758;14051;9600;11360;184780
2022-03-14T00:00:00+00:00;7308;224146;0;67390;163685;15708;9600;9112;131840
2022-03-15T00:00:00+00:00;7576;262451;0;113767;171300;38017;9600;7052;112260
2022-03-16T00:00:00+00:00;7600;188538;0;111926;200568;34470;9600;6268;124772
2022-03-17T00:00:00+00:00;7600;269586;0;97097;214273;18763;9600;9972;28312
2022-03-18T00:00:00+00:00;7612;261592;0;47944;210689;19789;9600;9580;12808
2022-03-19T00:00:00+00:00;7620;226223;0;0;205771;14369;9600;10380;48284
2022-03-20T00:00:00+00:00;7736;108053;0;0;217483;12368;9600;12928;124084
2022-03-21T00:00:00+00:00;7216;180260;0;60113;209883;31121;9600;11028;46304
2022-03-22T00:00:00+00:00;7456;193304;0;75821;215150;39933;9600;11104;10528
2022-03-23T00:00:00+00:00;7504;224595;0;87624;214192;35927;9600;11404;10124
2022-03-24T00:00:00+00:00;7464;230955;0;97834;218206;36845;9600;11400;46112
2022-03-25T00:00:00+00:00;7316;175652;0;82664;241013;27792;9600;11832;15292
