year;energy_ipc1_Mt_CO2e;industrial_processes_and_product_use_ipc2_Mt_CO2e;waste_ipc4_Mt_CO2e;other_ipc5_Mt_CO2e;total_AR4_Mt_CO2e;agriculture_and_livestock_ipcmag_Mt_CO2e
1750;0.327;0;0.0446;0;2.2;1.82
1751;0.328;0;0.0448;0.00161;2.2;1.83
1752;0.328;0;0.045;0.00322;2.21;1.84
1753;0.328;0;0.0451;0.00483;2.22;1.84
1754;0.328;0;0.0453;0.00644;2.23;1.85
1755;0.329;0;0.0455;0.00805;2.24;1.86
1756;0.329;0;0.0456;0.00966;2.25;1.86
1757;0.329;0;0.0458;0.0113;2.26;1.87
1758;0.329;0;0.046;0.0129;2.27;1.88
1759;0.33;0;0.0461;0.0145;2.28;1.89
1760;0.33;0;0.0463;0.0161;2.28;1.89
1761;0.33;0;0.0464;0.0177;2.29;1.9
1762;0.33;0;0.0466;0.0193;2.3;1.9
1763;0.33;0;0.0468;0.0209;2.31;1.91
1764;0.33;0;0.0469;0.0225;2.32;1.92
1765;0.33;0;0.0471;0.0241;2.32;1.92
1766;0.33;0;0.0472;0.0257;2.33;1.93
1767;0.331;0;0.0474;0.0274;2.34;1.94
1768;0.331;0;0.0475;0.029;2.35;1.94
1769;0.331;0;0.0477;0.0306;2.36;1.95
1770;0.331;0;0.0478;0.0322;2.37;1.95
1771;0.331;0;0.048;0.0338;2.37;1.96
1772;0.331;0;0.0481;0.0354;2.38;1.97
1773;0.331;0;0.0483;0.037;2.39;1.97
1774;0.331;0;0.0485;0.0386;2.4;1.98
1775;0.331;0;0.0486;0.0402;2.41;1.99
1776;0.331;0;0.0488;0.0418;2.41;1.99
1777;0.331;0;0.0489;0.0435;2.42;2
1778;0.331;0;0.0491;0.0451;2.43;2.01
1779;0.331;0;0.0492;0.0467;2.44;2.01
1780;0.331;0;0.0494;0.0483;2.45;2.02
1781;0.331;0;0.0495;0.0499;2.45;2.02
1782;0.331;0;0.0496;0.0515;2.46;2.03
1783;0.331;0;0.0498;0.0531;2.47;2.03
1784;0.33;0;0.0499;0.0547;2.47;2.04
1785;0.33;0;0.05;0.0563;2.48;2.04
1786;0.33;0;0.0501;0.0579;2.49;2.05
1787;0.33;0;0.0503;0.0595;2.49;2.05
1788;0.33;0;0.0504;0.0612;2.5;2.06
1789;0.329;0;0.0505;0.0628;2.51;2.06
1790;0.329;0;0.0507;0.0644;2.51;2.07
1791;0.328;0;0.0507;0.066;2.52;2.07
1792;0.327;0;0.0507;0.0676;2.52;2.07
1793;0.327;0;0.0507;0.0692;2.52;2.07
1794;0.326;0;0.0508;0.0708;2.52;2.07
1795;0.325;0;0.0508;0.0724;2.52;2.08
1796;0.324;0;0.0508;0.074;2.53;2.08
1797;0.323;0;0.0509;0.0756;2.53;2.08
1798;0.322;0;0.0509;0.0772;2.53;2.08
1799;0.321;0;0.0509;0.0789;2.53;2.08
1800;0.32;0;0.0509;0.0805;2.53;2.08
1801;0.319;0;0.0509;0.0821;2.53;2.08
1802;0.318;0;0.0509;0.0837;2.53;2.08
1803;0.317;0;0.0509;0.0853;2.53;2.08
1804;0.316;0;0.0509;0.0869;2.53;2.08
1805;0.315;0;0.0509;0.0885;2.53;2.08
1806;0.313;0;0.0508;0.0901;2.53;2.08
1807;0.478;0.0454;0.0508;0.0917;2.74;2.08
1808;0.477;0;0.0508;0.0933;2.7;2.08
1809;0.477;0;0.0508;0.0949;2.7;2.08
1810;0.478;0;0.0508;0.0966;2.7;2.08
1811;0.481;0;0.051;0.0982;2.71;2.08
1812;0.486;0;0.0512;0.0998;2.73;2.09
1813;0.491;0;0.0515;0.101;2.75;2.1
1814;0.499;0;0.0517;0.103;2.77;2.11
1815;0.507;0;0.0519;0.105;2.78;2.12
1816;0.518;0;0.0521;0.106;2.81;2.13
1817;0.53;0;0.0523;0.108;2.83;2.14
1818;0.543;0;0.0526;0.109;2.85;2.15
1819;0.56;0.0681;0.0528;0.111;2.95;2.16
1820;0.64;0.0898;0.053;0.113;3.06;2.17
1821;0.667;0.0967;0.0535;0.114;3.12;2.19
1822;0.676;0.0986;0.054;0.116;3.15;2.21
1823;0.659;0.0937;0.0545;0.117;3.15;2.23
1824;0.711;0.108;0.0549;0.119;3.24;2.25
1825;0.717;0.109;0.0554;0.121;3.27;2.26
1826;0.772;0.123;0.0559;0.122;3.36;2.28
1827;0.792;0.128;0.0564;0.124;3.4;2.3
1828;0.775;0.123;0.0569;0.126;3.4;2.32
1829;0.795;0.128;0.0573;0.127;3.45;2.34
1830;0.815;0.133;0.0578;0.129;3.5;2.36
1831;0.801;0.129;0.0581;0.13;3.49;2.37
1832;0.833;0.138;0.0584;0.132;3.55;2.39
1833;0.751;0.115;0.0587;0.134;3.46;2.4
1834;0.906;0.158;0.059;0.135;3.67;2.41
1835;0.954;0.171;0.0593;0.137;3.74;2.42
1836;0.994;0.182;0.0595;0.138;3.81;2.43
1837;1.03;0.19;0.0598;0.14;3.86;2.45
1838;1.17;0.229;0.0601;0.142;4.06;2.46
1839;1.37;0.285;0.0604;0.143;4.33;2.47
1840;1.48;0.315;0.0607;0.145;4.48;2.48
1841;1.63;0.355;0.0611;0.146;4.69;2.5
1842;1.77;0.393;0.0615;0.148;4.88;2.51
1843;1.58;0.341;0.0618;0.15;4.66;2.53
1844;1.9;0.429;0.0622;0.151;5.09;2.54
1845;2.11;0.484;0.0626;0.153;5.37;2.56
1846;2.42;0.569;0.063;0.154;5.78;2.57
1847;2.39;0.56;0.0634;0.156;5.76;2.59
1848;2.64;0.628;0.0638;0.158;6.09;2.61
1849;2.56;0.609;0.0641;0.159;6.02;2.62
1850;2.63;0.627;0.0643;0.161;6.27;2.79
1851;2.64;0.629;0.0649;0.163;6.31;2.81
1852;3.11;0.757;0.0655;0.164;6.93;2.84
1853;3.51;0.869;0.0661;0.166;7.47;2.86
1854;3.47;0.856;0.0667;0.167;7.44;2.88
1855;3.98;0.997;0.0673;0.169;8.12;2.91
1856;4.5;1.14;0.0678;0.171;8.81;2.93
1857;5.13;1.31;0.0684;0.172;9.64;2.95
1858;7.45;1.95;0.0689;0.174;12.6;2.98
1859;6.1;1.58;0.0694;0.175;10.9;3
1860;6.38;1.66;0.0699;0.177;11.3;3.02
1861;6.6;1.72;0.0704;0.179;11.6;3.04
1862;6.58;1.71;0.0709;0.18;11.6;3.07
1863;6.11;1.58;0.0715;0.182;11;3.09
1864;5.33;1.37;0.072;0.183;10.1;3.12
1865;5.6;1.44;0.0725;0.185;10.4;3.14
1866;3.88;0.965;0.073;0.187;8.26;3.16
1867;5.17;1.32;0.0736;0.188;9.94;3.19
1868;6.3;1.63;0.0741;0.19;11.4;3.21
1869;6.7;1.73;0.0746;0.192;11.9;3.24
1870;7.56;1.96;0.0752;0.193;13.1;3.26
1871;10.3;2.7;0.0759;0.195;16.5;3.29
1872;10.1;2.66;0.0769;0.196;16.4;3.33
1873;10.9;2.84;0.0781;0.198;17.3;3.37
1874;9.32;2.41;0.0795;0.2;15.4;3.42
1875;8.05;2.06;0.0809;0.201;13.8;3.46
1876;8.28;2.1;0.0823;0.203;14.2;3.51
1877;7.49;1.88;0.0837;0.204;13.2;3.56
1878;7.45;1.87;0.0849;0.206;13.2;3.6
1879;9.04;2.32;0.0861;0.208;15.3;3.64
1880;23.5;6.28;0.087;0.209;33.8;3.68
1881;10.5;2.67;0.0879;0.211;17.1;3.71
1882;10.7;2.76;0.0887;0.212;17.5;3.75
1883;11.9;3.09;0.0894;0.214;19;3.78
1884;11.6;2.99;0.0902;0.216;18.7;3.81
1885;12.1;3.14;0.091;0.217;19.4;3.84
1886;11.5;2.97;0.0917;0.219;18.6;3.88
1887;12.3;3.22;0.0925;0.22;19.8;3.91
1888;12.1;3.13;0.0932;0.222;19.4;3.94
1889;13;3.36;0.094;0.224;20.6;3.98
1890;13.1;3.42;0.0948;0.225;20.8;3.96
1891;15;3.92;0.0958;0.227;23.3;4.05
1892;14.5;3.78;0.0968;0.229;22.8;4.13
1893;17.7;4.65;0.0978;0.23;26.9;4.21
1894;18.1;4.78;0.0988;0.232;27.5;4.28
1895;20.3;5.39;0.0998;0.233;30.4;4.36
1896;21.2;5.7;0.101;0.235;31.7;4.42
1897;22.9;6.16;0.102;0.237;33.9;4.48
1898;24.3;6.55;0.103;0.238;35.7;4.54
1899;24.6;6.64;0.104;0.24;36.2;4.59
1900;27.5;7.46;0.105;0.241;39.9;4.63
1901;28.1;7.64;0.106;0.243;40.8;4.67
1902;25.5;6.92;0.107;0.245;37.5;4.7
1903;25.5;6.93;0.109;0.246;37.5;4.73
1904;27;7.33;0.11;0.248;39.4;4.76
1905;28.4;7.71;0.111;0.249;41.2;4.78
1906;33.8;9.21;0.113;0.251;48.2;4.81
1907;42.2;11.5;0.114;0.253;58.9;4.84
1908;59.1;16.2;0.115;0.254;80.5;4.86
1909;43.1;11.8;0.117;0.256;60.1;4.9
1910;57.9;15.8;0.118;0.257;79.1;4.94
1911;48.5;13.2;0.118;0.259;67;4.92
1912;51;13.9;0.118;0.261;70.2;4.91
1913;60.1;16.4;0.118;0.262;81.8;4.89
1914;49;13.4;0.118;0.264;67.6;4.88
1915;35;9.53;0.118;0.266;49.7;4.87
1916;9.26;2.46;0.118;0.267;17;4.85
1917;3.74;0.94;0.118;0.269;9.91;4.84
1918;3.62;0.91;0.118;0.27;9.75;4.83
1919;3.29;0.824;0.118;0.272;9.33;4.82
1920;14.6;3.86;0.118;0.274;23.6;4.81
1921;19.3;5.15;0.119;0.275;29.6;4.83
1922;18.5;4.95;0.12;0.277;28.7;4.85
1923;17.7;4.74;0.12;0.278;27.8;4.88
1924;20;5.33;0.121;0.28;30.7;4.91
1925;18.9;5.06;0.122;0.282;29.3;4.93
1926;18.6;4.95;0.123;0.283;28.9;4.96
1927;20.1;5.35;0.124;0.285;30.8;4.99
1928;20.8;5.95;0.124;0.286;32.2;5.02
1929;23.8;6.79;0.125;0.288;36;5.05
1930;18.5;5.34;0.126;0.29;29.4;5.07
1931;17.9;4.95;0.126;0.291;28.4;5.08
1932;15.1;4.25;0.126;0.293;24.8;5.09
1933;14.2;3.92;0.127;0.295;23.6;5.11
1934;13.7;3.89;0.127;0.296;23.1;5.12
1935;13.8;3.98;0.127;0.298;23.4;5.13
1936;13.5;3.91;0.127;0.299;23;5.16
1937;15.1;4.44;0.127;0.301;25.1;5.18
1938;5.71;2.24;0.128;0.303;13.6;5.2
1939;6.21;2.42;0.128;0.304;14.3;5.22
1940;7.16;2.56;0.129;0.306;15.4;5.23
1941;7.78;2.6;0.216;0.307;16.2;5.3
1942;8.42;2.5;0.304;0.309;17;5.44
1943;9.43;2.69;0.394;0.311;18.5;5.63
1944;9.59;2.07;0.486;0.312;18.3;5.86
1945;4.85;1.35;0.584;0.314;13.2;6.1
1946;12.7;3.54;0.684;0.315;23.6;6.35
1947;17.6;4.76;0.788;0.317;30;6.58
1948;24.2;6.8;0.893;0.319;39;6.78
1949;26.1;7.58;1;0.32;41.9;6.92
1950;20.4;6.42;1.11;0.322;35.3;7.01
1951;22.7;7.05;1.22;0.323;38.3;7.03
1952;21.6;6.68;1.33;0.325;37;7.06
1953;21.3;6.61;1.44;0.327;36.7;7.09
1954;24;7.37;1.55;0.328;40.3;7.12
1955;28.4;8.03;1.67;0.33;45.6;7.16
1956;27.6;8.39;1.79;0.332;45.3;7.2
1957;28.5;8.86;1.91;0.333;46.8;7.24
1958;27.4;8.52;2.04;0.335;45.6;7.29
1959;27.1;8.53;2.17;0.336;45.5;7.34
1960;29.8;9.25;2.3;0.338;49.1;7.4
1961;30.7;9.52;2.45;0.34;50.5;7.52
1962;32.8;9.83;2.6;0.341;53.3;7.71
1963;35.8;10.7;2.75;0.343;57.2;7.63
1964;37.5;11.1;2.91;0.344;59.3;7.43
1965;36.6;11.2;3.07;0.346;58.9;7.57
1966;37.5;11.5;3.24;0.348;60.3;7.65
1967;38.2;11.5;3.4;0.349;61.3;7.89
1968;40.6;11.6;3.58;0.351;64;7.96
1969;42.9;11.7;3.75;0.352;66.7;7.92
