year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population;international_flight_co2e_t
1990;Austria;14644368.12;1.907352725;21763078.46;2.834527695;13768011.09;1.793211784;12880555.06;1.677625255;9491405.999;1.236206229;4219672.471;0.549590376;1655832.741;0.215663596;78422923.95;10.21417766;7677850;889774.791457
1991;Austria;15322821.2;1.975891241;21977719.92;2.834046271;15248418.66;1.966296968;14097982.81;1.817947255;9369423.925;1.208195438;4268038.989;0.550367373;1810647.305;0.233484559;82095052.81;10.58622911;7754891;1000385.730337
1992;Austria;12016196.56;1.53253954;20186921.18;2.574629562;15217814.72;1.940872275;13550400.79;1.72821116;9000833.566;1.147961691;4319217.326;0.55087076;1172375.789;0.149524206;75463759.94;9.624609195;7840709;1087347.727251
1993;Austria;12119055;1.532964727;20500138.77;2.59310562;15357739.76;1.942632767;13581639.69;1.717970137;8977825.484;1.135624006;4227170.647;0.534703696;1042394.341;0.13185465;75805963.7;9.588855603;7905632;1153700.257199
1994;Austria;12292732.42;1.548960388;21757008.12;2.741517719;15409517.83;1.941694646;12317210.08;1.552044725;8877575.882;1.118629522;4129367.618;0.520325884;1255662.481;0.158221246;76039074.43;9.581394131;7936118;1203502.043371
1995;Austria;13463182.06;1.693848914;22218152.45;2.795341639;15663464.09;1.970673911;13504166.5;1.699005306;8950740.254;1.1261232;3942636.543;0.496036568;1540644.89;0.193833795;79282986.79;9.974863333;7948278;1347266.547809
1996;Austria;14243297.41;1.789580196;22136066.56;2.781256698;17216503.92;2.163144781;14433825.33;1.813518824;8884025.629;1.116221607;3883963.143;0.487995393;1684611.226;0.211660741;82482293.23;10.36337824;7959016;1489171.560404
1997;Austria;14357202.64;1.801848489;24275372.71;3.046592344;16226579.53;2.036457836;12955962.91;1.625990995;8883799.358;1.114928921;3712493.052;0.465922935;1722174.274;0.216135217;82133584.47;10.30787674;7968041;1552972.117119
1998;Austria;13639021.23;1.709838537;22708556.46;2.846829277;18219757.32;2.284096685;12987628.01;1.628177454;8853953.694;1.109964635;3513964.341;0.440523667;1528973.229;0.191677783;81451854.28;10.21110804;7976789;1610505.808266
1999;Austria;13268301.1;1.66013074;21880518.65;2.737691989;17596060.87;2.201620338;13582863.1;1.699488759;8763847.152;1.096533155;3381521.875;0.423096248;1448616.834;0.181251037;79921729.57;9.999812266;7992323;1578053.943465
2000;Austria;12856710.05;1.604768662;23170412.29;2.892120254;18507866.77;2.310143456;12375933.81;1.544758392;8556698.387;1.068043175;3261577.387;0.407108596;1355269.997;0.169164181;80084468.7;9.996106716;8011566;1713225.605205
2001;Austria;14416432.4;1.792577365;22894518.94;2.846765087;19843433.5;2.467385048;13581080.12;1.688707452;8516192.402;1.058925906;3174204.466;0.394688986;1562818.304;0.194324965;83988680.12;10.44337481;8042293;1668648.275795
2002;Austria;13763887.68;1.703004406;23878053.2;2.954429067;21978759.65;2.719429671;12857480.14;1.590854695;8355014.437;1.033765077;3252743.72;0.402461646;1660580.995;0.205463516;85746519.82;10.60940808;8082121;1556926.710937
2003;Austria;16361319;2.015376353;24368343.39;3.001676272;23741998.93;2.92452358;13543161.89;1.668237642;8184197.957;1.008124041;3316859.821;0.408568579;1693183.886;0.208565261;91209064.88;11.23507173;8118245;1468223.661707
2004;Austria;16144514.81;1.976208018;24075734.63;2.947047984;24260789.36;2.969700051;13007023.39;1.592155864;8159851.177;0.998826135;3485641.669;0.42666832;1721766.792;0.21075699;90855321.83;11.12136336;8169441;1742857.143883
2005;Austria;16318127.37;1.983899799;25248353.59;3.069604892;24629087.2;2.99431669;12721427.81;1.546625878;8075078.434;0.981739272;3304445.611;0.401742727;1732126.341;0.210585751;92028646.35;11.18851501;8225278;1980313.165683
2006;Austria;15120680.19;1.82883107;25633584.11;3.100356233;23257110.35;2.812924119;12584471.05;1.522079124;8002085.199;0.967844162;3314075.101;0.400834052;1694441.185;0.204940958;89606447.18;10.83780972;8267948;2070305.394585
2007;Austria;13944830.21;1.68107444;25899217.13;3.122197352;23460826.48;2.82824496;10597123.65;1.277502375;8017651.387;0.96654234;3190861.108;0.384664063;1730302.869;0.208591133;86840812.83;10.46881666;8295189;2198559.686559
2008;Austria;13704550.86;1.646876565;26601670.14;3.196724037;22013255.29;2.645333994;10907808.44;1.310791888;8202626.362;0.985710022;3082133.474;0.370380134;1746474.093;0.209873879;86258518.66;10.36569052;8321541;2204845.256896
2009;Austria;12505815.61;1.499231685;22848802.22;2.73917746;21385049.88;2.563698791;10051114.18;1.204955303;8080121.054;0.968667209;3123822.194;0.374492425;1589511.907;0.190555074;79584237.04;9.540777945;8341483;1913348.511945
2010;Austria;13770736.19;1.647006643;25284614.99;3.024088785;22169855.32;2.651557513;10233544.29;1.223951661;7906606.616;0.945645421;3037312.872;0.363268485;1747260.484;0.208975728;84149930.77;10.06449424;8361069;2071022.079556
2011;Austria;13449076.82;1.603269036;25318624.73;3.018241892;21408685.91;2.552136751;8967732.685;1.069046473;8048941.677;0.959517083;2993838.112;0.356896463;1820240.392;0.216991478;82007140.33;9.776099177;8388534;2191299.924376
2012;Austria;11887505.06;1.410760303;24746981.44;2.936870173;21334725.5;2.531917644;8617604.541;1.022701932;7911327.781;0.938883906;2912172.89;0.345604724;1899333.999;0.225405162;79309651.21;9.412143845;8426311;2094553.095049
2013;Austria;11075983.03;1.306556863;24812792.69;2.926992979;22365178.25;2.638264887;8859713.633;1.04511894;7892843.182;0.931063942;2772130.688;0.327009022;1993048.405;0.235106091;79771689.88;9.410112723;8477230;1996282.629061
2014;Austria;9247584.132;1.082356944;24457934.11;2.862608704;21781607.28;2.549365711;7794894.846;0.912331096;8114535.597;0.94974253;2733302.659;0.319911565;2105018.159;0.246375809;76234876.78;8.92269236;8543932;1997572.703036
2015;Austria;10405437.17;1.205795731;24727877.51;2.865498935;22177510.24;2.569959025;8208841.637;0.951251355;8070715.949;0.935245168;2667149.845;0.309072828;2229003.466;0.25829985;78486535.82;9.095122893;8629519;2149112.916493
2016;Austria;10057027.66;1.150715206;24668643.61;2.822561921;23054910.27;2.637920141;8439302.146;0.965616645;8271349.396;0.946399656;2656781.059;0.303986274;2319934.208;0.265444589;79467948.35;9.092644431;8739806;2344267.357949
