year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population
1990;Burgenland;1569.74797927;0.00578959;106080.20596453;0.39124786;510676.97515202;1.88349251;461402.79556440;1.70175816;325350.75465929;1.19996738;184842.65080264;0.68174162;4660.65324533;0.01718955;1594583.78336748;5.88118666;271133
1991;Burgenland;10050.42265796;0.03682134;109992.95241861;0.40297692;568141.46958727;2.08147788;538703.22271539;1.97362612;322318.54456387;1.18086596;188934.13182127;0.69219066;6451.85414662;0.02363741;1744592.59791099;6.39159629;272951
1992;Burgenland;26395.37705904;0.09600309;107182.14460872;0.38983406;568224.30576211;2.06669857;488630.79854950;1.77720763;309690.33783183;1.12638015;190556.19290563;0.69307527;6597.52959048;0.02399599;1697276.68630731;6.17319476;274943
1993;Burgenland;14229.31964219;0.05156335;114508.71381174;0.41494979;575003.43961163;2.08366287;507919.62882954;1.84056860;301935.14057542;1.09413440;190006.15404718;0.68853287;14674.53691853;0.05317670;1718276.93343622;6.22658859;275958
1994;Burgenland;21924.11448191;0.07917472;115339.64961010;0.41652697;577254.62644219;2.08464409;453665.58829545;1.63832604;298961.88843661;1.07964338;183205.01775638;0.66160970;16491.54873953;0.05955606;1666842.43376218;6.01948096;276908
1995;Burgenland;21146.84685346;0.07615299;112770.00047635;0.40610179;589830.78604954;2.12406968;511460.59135536;1.84184678;305845.87328048;1.10139715;175799.64724257;0.63308106;21272.79380395;0.07660654;1738126.53906171;6.25925600;277689
1996;Burgenland;12167.79116198;0.04381584;117567.20651544;0.42335591;652862.88279650;2.35093925;586956.93822401;2.11361396;306427.65639996;1.10343661;167407.25579234;0.60282840;24029.66359204;0.08653008;1867419.39448226;6.72452006;277703
1997;Burgenland;71349.48048872;0.25723761;125135.36396705;0.45115285;613403.54450385;2.21151519;548009.54125308;1.97574897;306743.92247394;1.10590956;162939.60260825;0.58744917;27461.07209036;0.09900591;1855042.52738524;6.68801926;277368
1998;Burgenland;66014.93722531;0.23834431;117676.96813421;0.42486801;692256.33076345;2.49936395;522705.31443801;1.88720675;298313.46267518;1.07704889;158437.54009403;0.57203244;31223.84578327;0.11273245;1886628.39911345;6.81159680;276973
1999;Burgenland;71486.25338875;0.25855289;97053.34611192;0.35102445;668615.11041510;2.41826028;539860.67783773;1.95257871;289611.38471071;1.04747215;147969.34433890;0.53517843;32551.26186342;0.11773204;1847147.37866653;6.68079895;276486
