year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
1990,Austria,Emissionshandel,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,7644818,,,,,,,,,,
1990,Austria,Emissionshandel Abgrenzung ab 2013,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,7644818,,,,,,,,,,
1990,Austria,Gesamt,THG,t CO2-äq,NowCast (1990-2023),31072024,36407538.53,14714906.25,21692632.28,13763204.28,12918434.66,9785098.492,4658363.174,1550034.031,79082673.17,7644818,1.92482100293297,2.83756032910136,4.76238133203433,1.80033118904858,1.68982893510349,1.279964871891,0.609349126951093,0.202756171696959,10.3446116271179,888825
1990,Austria,KSG,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,7644818,,,,,,,,,,
1990,Burgenland,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,270670,,,,,,,,,,
1990,Burgenland,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,106470.7926,1777.683175,104693.1095,510353.3207,468087.6817,322895.8118,206344.0245,4758.490835,1618910.122,270670,0.00656771409834854,0.386792439132523,0.393360152953781,1.88551860457384,1.72936668895703,1.19295013041711,0.762345381830273,0.0175804146562234,5.9811213728895,
1990,Burgenland,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,270670,,,,,,,,,,
1990,Kärnten,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,544983,,,,,,,,,,
1990,Kärnten,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1291289.518,475018.8863,816270.6317,1014952.617,979714.2289,824843.7981,352862.402,119596.8786,4583259.443,544983,0.871621474981788,1.49779099843481,2.3694124734166,1.86235647166976,1.79769686192046,1.51352206967924,0.647474145065075,0.219450659194874,8.40991268167998,
1990,Kärnten,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,544983,,,,,,,,,,
1990,Niederösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1455968,,,,,,,,,,
1990,Niederösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,9198815.421,6604047.682,2594767.738,2988652.612,2574290.416,2588058.623,1206836.288,25690.09047,18582343.45,1455968,4.53584672327963,1.78215986752456,6.31800659149102,2.05269113881624,1.76809546363656,1.77755185759577,0.828889294270204,0.0176446807004,12.7628790261874,
1990,Niederösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1455968,,,,,,,,,,
1990,Oberösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1296826,,,,,,,,,,
1990,Oberösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,12874997.64,2310369.752,10564627.89,2487761.723,2143812.524,2631010.264,671219.6277,1290204.061,22099005.84,1296826,1.7815572420664,8.14652689720903,9.9280841377332,1.91834658080575,1.65312271962468,2.02880746067707,0.517586497880209,0.994893733623478,17.0408411305757,
