year,total_co2e_t
1990,78422923.95
1991,82095052.81
1992,75463759.94
1993,75805963.7
1994,76039074.43
1995,79282986.79
1996,82482293.23
1997,82133584.47
1998,81451854.28
1999,79921729.57
2000,80084468.7
2001,83988680.12
2002,85746519.82
2003,91209064.88
2004,90855321.83
2005,92028646.35
2006,89606447.18
2007,86840812.83
2008,86258518.66
2009,79584237.04
2010,84149930.77
2011,82007140.33
2012,79309651.21
2013,79771689.88
2014,76234876.78
2015,78486535.82
2016,79467948.35
2017,81791730.42
2018,78557548.24
2019,79740031.93
2020,73591594.84
2021,80000000
