year,unit,consumption_based,production_based
1990,THG,,79621236
1991,THG,,83293098
1992,THG,,76723749
1993,THG,,77094774
1994,THG,,77304145
1995,THG,,80570107
1996,THG,,83756496
1997,THG,116868000,83380103
1998,THG,,82702457
1999,THG,,81161210
2000,THG,,81388764
2001,THG,120069000,85278363
2002,THG,,87042754
2003,THG,,92414370
2004,THG,130950000,92214454
2005,THG,,93340716
2006,THG,,90899934
2007,THG,123238000,88097053
2008,THG,,87509816
2009,THG,,80896167
2010,THG,,85441915
2011,THG,123636000,83250547
2012,THG,,80487111
2013,THG,,80867746
2014,THG,112500000,77215164
2015,THG,,79358983
2016,THG,,80319397
2017,THG,,82635361
2018,THG,,79441494
2019,THG,,80640668
2020,THG,,74678788
2021,THG,,78073249
2022,THG,,73515150
2023,THG,,68695923
