region;energietraeger_gruppe;energietraeger_untergruppe;year;nutzenergiekategorie;gesamt;industrie_eisenStahlerzeugung;industrie_chemiePetrochemie;industrie_nichtEisenMetalle;industrie_steineErdenGlas;industrie_fahrzeugbau;industrie_maschinenbau;industrie_bergbau;industrie_nahrungsGenußmittelTabak;industrie_papierDruck;industrie_holzverarbeitung;industrie_bau;industrie_textilLeder;industrie_sonstProduzierenderBereich;verkehr_eisenbahn;verkehr_sonstigerLandverkehr;verkehr_transportinRohrfernleitungen;verkehr_binnenschiffahrt;verkehr_flugverkehr;oeffentUndPrivDienstleistungen;privateHaushalte;landwirtschaft
austria;coal;steinkohle;2020;raumklimaUndWarmwasser;86.962049;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;86.632991;0.329058
austria;coal;steinkohle;2020;prozesswaermeKleiner200Grad;737.074649;0.000000;89.518838;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;645.376623;0.000000;0.000000;0.000000;2.179188;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2020;prozesswaermeGroesser200Grad;635.973297;0.015290;0.000000;0.074622;631.316372;1.769160;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.369912;0.427942
austria;coal;steinkohle;2020;standmotoren;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2020;verkehr;1.087521;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.087521;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2020;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2020;elektrochemie;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2019;raumklimaUndWarmwasser;85.374780;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;85.094106;0.280674
austria;coal;steinkohle;2019;prozesswaermeKleiner200Grad;747.862176;0.000000;37.494397;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;710.367779;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2019;prozesswaermeGroesser200Grad;246.125828;0.014990;0.000000;0.000083;243.417896;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.327811;0.365049
austria;coal;steinkohle;2019;standmotoren;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2019;verkehr;1.194264;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.194264;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2019;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2019;elektrochemie;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2018;raumklimaUndWarmwasser;86.909840;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.072010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;86.554447;0.283384
austria;coal;steinkohle;2018;prozesswaermeKleiner200Grad;1359.013750;0.000000;264.656046;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1094.357704;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2018;prozesswaermeGroesser200Grad;219.391495;0.015418;0.000000;0.023756;216.621113;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.362190;0.369018
austria;coal;steinkohle;2018;standmotoren;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2018;verkehr;1.212476;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.212476;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2018;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;steinkohle;2018;elektrochemie;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;braunkohle;2020;raumklimaUndWarmwasser;59.204379;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;56.282951;2.921428
austria;coal;braunkohle;2020;prozesswaermeKleiner200Grad;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;braunkohle;2020;prozesswaermeGroesser200Grad;369.863728;0.000000;0.000000;0.000000;367.975869;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.887859;0.000000
austria;coal;braunkohle;2020;standmotoren;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;braunkohle;2020;verkehr;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;braunkohle;2020;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
