region;energietraeger_gruppe;energietraeger_untergruppe;year;nutzenergiekategorie;gesamt;industrie_eisenStahlerzeugung;industrie_chemiePetrochemie;industrie_nichtEisenMetalle;industrie_steineErdenGlas;industrie_fahrzeugbau;industrie_maschinenbau;industrie_bergbau;industrie_nahrungsGenußmittelTabak;industrie_papierDruck;industrie_holzverarbeitung;industrie_bau;industrie_textilLeder;industrie_sonstProduzierenderBereich;verkehr_eisenbahn;verkehr_sonstigerLandverkehr;verkehr_transportinRohrfernleitungen;verkehr_binnenschiffahrt;verkehr_flugverkehr;oeffentUndPrivDienstleistungen;privateHaushalte;landwirtschaft
burgenland;coal;steinkohle;2020;raumklimaUndWarmwasser;242.5203333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241.6883056;0.832027778
burgenland;coal;steinkohle;2020;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2020;prozesswaermeGroesser200Grad;1.249361111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.249361111
burgenland;coal;steinkohle;2020;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2020;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2020;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2020;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2019;raumklimaUndWarmwasser;238.1013611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237.4021944;0.699166667
burgenland;coal;steinkohle;2019;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2019;prozesswaermeGroesser200Grad;1.049833333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.049833333
burgenland;coal;steinkohle;2019;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2019;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2019;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;steinkohle;2019;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2020;raumklimaUndWarmwasser;614.9418889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583.0427778;31.89911111
burgenland;coal;braunkohle;2020;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2020;prozesswaermeGroesser200Grad;45.65494444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.65494444;0
burgenland;coal;braunkohle;2020;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2020;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2020;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2020;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2019;raumklimaUndWarmwasser;619.8809167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594.3702778;25.51063889
burgenland;coal;braunkohle;2019;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2019;prozesswaermeGroesser200Grad;55.45044444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.45044444;0
burgenland;coal;braunkohle;2019;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2019;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2019;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;braunkohle;2019;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2020;raumklimaUndWarmwasser;3028.811444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2934.158333;94.65311111
burgenland;coal;koks;2020;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2020;prozesswaermeGroesser200Grad;625.9232222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625.62;0.303222222
burgenland;coal;koks;2020;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2020;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2020;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2020;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2019;raumklimaUndWarmwasser;2918.301861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2838.988889;79.31297222
burgenland;coal;koks;2019;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2019;prozesswaermeGroesser200Grad;605.5824167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605.3283333;0.254083333
burgenland;coal;koks;2019;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2019;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2019;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;coal;koks;2019;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;raumklimaUndWarmwasser;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;prozesswaermeGroesser200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;standmotoren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;verkehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;beleuchtungUndEdv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2020;elektrochemie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2019;raumklimaUndWarmwasser;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2019;prozesswaermeKleiner200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burgenland;oil;petrolkoks;2019;prozesswaermeGroesser200Grad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
