gruppe;untergruppe;jahr;gesamt_import_t;AL;DZ;AD;AO;AR;AM;AW;AU;AT;AZ;BS;BH;BD;BB;BY;BE;BZ;BJ;BO;BA;BR;VG;BN;BG;KH;CM;CA;CV;CL;CN;CO;CG;CR;CI;HR;CU;CW;CY;CZ;KP;CD;DK;DJ;DO;EC;EG;CQ;ER;EE;ET;FI;MK;FR;GA;GE;DE;GH;GI;GR;GT;GW;HN;HK;HU;IS;IN;ID;IR;IQ;IE;IL;IT;JM;JP;JO;KZ;KE;KR;XK;KW;KG;LA;LV;LB;LR;LY;LI;LT;LU;MG;MY;MT;MH;MR;MU;MX;MD;MN;ME;MA;MZ;MM;NA;NP;NL;NC;NZ;NG;NO;OM;OtherAfrica;OtherAsiaOceania;OtherEurope;OtherFormerSovietUnion;OtherNearandMiddleEast;OtherNon-OECD_Americas;PK;PA;PG;PE;PH;PL;PT;QA;RO;RU;ST;SA;SN;RS;SL;SG;SK;SI;ZA;SS;ES;LK;SD;SE;CH;SY;TW;TJ;TZ;TH;TL;TG;TT;TN;TR;TM;UG;UA;AE;UK;US;UY;ZU;VE;VN;YE;Else
coal;steinkohle;2005;4324303.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1914470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21105.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1828943;0;0;0;31103;0;0;0;0;0;0;0;463;938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25966;0;0;501123;0;0;0;121;0;0
coal;steinkohle;2006;4122270.256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1815625.256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1921597;0;0;0;53374;0;0;0;0;0;0;0;2073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;0;0;305919;0;0;0;0;0;0
coal;steinkohle;2007;4437228.753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1758003.453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28695.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2055644;0;0;0;120931;0;0;0;0;0;0;0;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7749;0;0;459677;0;0;0;0;0;0
coal;steinkohle;2008;4075717.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1988503.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40245.15;0;0;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1427059;0;0;0;24;0;0;0;0;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52984;0;0;510057;0;0;40780;0;0;0
coal;steinkohle;2009;3129170.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1642852.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58917.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1078803;0;0;0;0;0;0;0;0;0;0;0;0;26283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23747;0;0;285609;0;0;179;0;0;0
coal;steinkohle;2010;3646912.977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15505;0;0;0;0;0;0;0;1822854.777;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;17335.2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;593109;0;0;0;96591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;768;25;0;1080042;0;0;19853;0;0;0
coal;steinkohle;2011;3383592.299;0;0;0;0;0;0;0;101991;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24604;0;0;0;0;0;0;0;1731449.599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7454.7;0;0;0;0;0;0;0;30831;0;0;0;0;0;0;0;1015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487149;0;0;0;99608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1480;0;0;872120;0;0;25715;0;0;0
coal;steinkohle;2012;3644899.854;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;4;0;0;0;34480;0;0;0;0;0;0;0;1649622.654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20893.2;0;0;0;0;0;0;0;11148;0;0;0;0;0;0;0;18186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;896477;0;0;0;203061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;0;0;797609;0;0;12615;0;0;0
coal;steinkohle;2013;3189295.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;9723;0;0;0;0;0;0;0;1668900.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33192.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3236;0;0;0;0;0;0;0;0;0;0;0;0;734999;0;0;0;38210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;0;0;0;0;0;0;0;0;0;0;0;0;774;0;38;690844;0;0;3033;0;0;0
coal;steinkohle;2014;3174248.729;0;0;0;0;0;0;0;235503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70412;0;0;0;605;0;0;0;1319195.911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101305.818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24346;0;0;0;0;0;0;0;3576;0;0;0;0;0;0;0;0;0;0;0;0;857750;0;0;0;13821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;541776;0;0;0;0;0;0
