name;eic;gasDayStart;gasInStorage;injection;withdrawal;workingGasVolume;injectionCapacity;withdrawalCapacity;trend;full
UGS Haidach (astora);21W000000000078N;2022-09-25;14.0112;146.42;0;18.608;162.29;174.31;0.79;75.3
UGS Haidach (astora);21W000000000078N;2022-09-24;13.8648;149;0;18.608;162.29;174.31;0.8;74.51
UGS Haidach (astora);21W000000000078N;2022-09-23;13.7158;141.76;0;18.608;162.29;174.31;0.76;73.71
UGS Haidach (astora);21W000000000078N;2022-09-22;13.574;153.93;0;18.608;162.29;174.31;0.83;72.95
UGS Haidach (astora);21W000000000078N;2022-09-21;13.4209;145.62;0;18.608;162.29;174.31;0.78;72.12
UGS Haidach (astora);21W000000000078N;2022-09-20;13.2753;140.92;0;18.608;162.29;174.31;0.76;71.34
UGS Haidach (astora);21W000000000078N;2022-09-19;13.1344;161.69;0;18.608;162.29;174.31;0.87;70.58
UGS Haidach (astora);21W000000000078N;2022-09-18;12.9752;162.29;0;18.608;162.29;174.31;0.87;69.73
UGS Haidach (astora);21W000000000078N;2022-09-17;12.8129;162.29;0;18.608;162.29;174.31;0.87;68.86
UGS Haidach (astora);21W000000000078N;2022-09-16;12.6506;162.29;0;18.608;162.29;174.31;0.87;67.98
UGS Haidach (astora);21W000000000078N;2022-09-15;12.4884;160.28;0;18.608;162.29;174.31;0.86;67.11
UGS Haidach (astora);21W000000000078N;2022-09-14;12.3281;108.32;0;18.608;162.29;174.31;0.58;66.25
UGS Haidach (astora);21W000000000078N;2022-09-13;12.2198;104.38;0;18.608;162.29;174.31;0.56;65.67
UGS Haidach (astora);21W000000000078N;2022-09-12;12.1154;158.24;0;18.608;162.29;174.31;0.85;65.11
UGS Haidach (astora);21W000000000078N;2022-09-11;11.9571;164.33;0;18.608;162.29;174.31;0.88;64.26
UGS Haidach (astora);21W000000000078N;2022-09-10;11.7928;161.84;0;18.608;162.29;174.31;0.87;63.37
UGS Haidach (astora);21W000000000078N;2022-09-09;11.631;160.09;0;18.608;162.29;174.31;0.86;62.51
UGS Haidach (astora);21W000000000078N;2022-09-08;11.4709;144.52;0;18.608;162.29;174.31;0.78;61.64
