endDate;heatDays;summerDays;tropicalNights;iceDays
1901-07-16;0;22;0;32
1902-07-16;1;14;0;2
1903-07-16;0;11;0;13
1904-07-16;2;14;0;27
1905-07-16;1;18;2;16
1906-07-16;0;7;0;10
1907-07-16;0;20;0;23
1908-07-16;2;25;0;15
1909-07-16;0;8;0;33
1910-07-16;0;7;0;6
1911-07-16;0;7;0;17
1912-07-16;0;8;0;20
1913-07-16;0;13;0;23
1914-07-16;0;13;0;38
1915-07-16;0;19;0;12
1916-07-16;1;13;0;4
1917-07-16;0;22;0;30
1918-07-16;0;9;0;11
1919-07-16;0;9;0;18
1920-07-16;0;12;0;3
1921-07-16;0;10;0;2
1922-07-16;2;27;1;30
1923-07-16;1;14;0;11
1924-07-16;0;13;1;37
1925-07-16;0;6;0;10
1926-07-16;0;5;0;10
1927-07-16;1;21;0;5
1928-07-16;4;16;0;7
1929-07-16;0;13;0;53
1930-07-16;4;25;1;16
1931-07-16;7;37;1;20
1932-07-16;4;22;1;29
1933-07-16;0;8;0;29
1934-07-16;2;25;0;14
1935-07-16;3;22;2;24
1936-07-16;0;25;0;4
1937-07-16;1;24;0;21
1938-07-16;6;21;1;10
1939-07-16;1;15;0;3
1940-07-16;0;10;0;55
1941-07-16;0;12;0;28
1942-07-16;0;12;0;50
1943-07-16;0;5;0;20
1944-07-16;0;9;0;14
1945-07-16;0;29;0;28
1946-07-16;6;23;0;25
1947-07-16;8;26;2;47
1948-07-16;0;11;0;15
1949-07-16;1;13;1;16
1950-07-16;6;30;4;23
1951-07-16;0;18;1;7
1952-07-16;6;21;1;16
1953-07-16;1;28;0;11
1954-07-16;1;16;0;39
1955-07-16;0;16;0;25
1956-07-16;0;20;0;36
1957-07-16;10;38;4;11
1958-07-16;5;25;0;10
1959-07-16;4;20;1;15
1960-07-16;0;15;0;19
1961-07-16;5;18;0;16
1962-07-16;2;23;0;12
1963-07-16;2;27;0;43
1964-07-16;5;27;0;33
1965-07-16;5;21;0;14
1966-07-16;1;20;0;21
1967-07-16;7;19;0;10
1968-07-16;10;38;0;12
1969-07-16;0;28;0;23
1970-07-16;3;23;0;26
1971-07-16;3;25;0;29
1972-07-16;2;18;0;20
1973-07-16;1;21;1;7
1974-07-16;1;14;0;3
1975-07-16;0;26;0;0
1976-07-16;4;32;0;11
1977-07-16;2;30;0;11
1978-07-16;0;13;0;12
1979-07-16;5;30;0;17
1980-07-16;1;8;0;18
1981-07-16;5;30;1;9
1982-07-16;2;28;0;30
1983-07-16;4;33;1;7
1984-07-16;4;18;1;6
1985-07-16;2;18;0;34
1986-07-16;4;33;1;27
1987-07-16;2;25;1;34
1988-07-16;3;21;1;3
1989-07-16;2;19;2;6
1990-07-16;2;21;1;12
1991-07-16;8;24;4;16
1992-07-16;1;22;0;2
1993-07-16;5;31;1;17
1994-07-16;6;32;3;7
1995-07-16;7;30;0;10
1996-07-16;5;26;0;37
1997-07-16;3;26;1;17
1998-07-16;4;33;2;6
1999-07-16;4;24;2;14
2000-07-16;14;43;2;12
2001-07-16;5;33;2;6
2002-07-16;15;39;2;10
2003-07-16;11;52;3;18
2004-07-16;1;13;0;13
2005-07-16;4;34;1;19
2006-07-16;9;33;4;22
2007-07-16;9;47;0;2
2008-07-16;5;35;1;3
2009-07-16;4;34;0;20
2010-07-16;11;29;5;23
2011-07-16;6;40;1;11
2012-07-16;17;45;5;15
2013-07-16;5;31;4;16
2014-07-16;7;32;2;6
2015-07-16;14;36;3;2
2016-07-16;10;31;2;8
2017-07-16;16;47;2;22
2018-07-16;7;57;2;9
2019-07-16;15;40;8;4
2020-07-16;7;28;0;2
2021-07-16;16;41;5;5
2022-07-16;13;46;2;1
2023-07-16;9;31;3;1
2024-07-16;11;46;7;3
