month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951-1;0.46;0;0;0;2
1951-2;2.09;0;0;0;0
1951-3;3.18;0;0;0;4
1951-4;8.83;0;2;0;0
1951-5;12.81;0;4;0;0
1951-6;16.3;1;7;0;0
1951-7;18.01;1;13;0;0
1951-8;18.74;2;11;0;0
1951-9;15.61;1;7;0;0
1951-10;7.52;0;0;0;0
1951-11;6.55;0;0;0;0
1951-12;0.43;0;0;0;6
1952-1;-2.05;0;0;0;12
1952-2;-1.6;0;0;0;12
1952-3;3.26;0;0;0;2
1952-4;11.28;0;0;0;0
1952-5;12.68;0;1;0;0
1952-6;16.89;0;9;0;0
1952-7;20.18;5;19;0;0
1952-8;20;8;19;1;0
1952-9;11.72;0;0;0;0
1952-10;8.38;0;0;0;0
1952-11;1.78;0;0;0;3
1952-12;-1.1;0;0;0;11
1953-1;-2.92;0;0;0;16
1953-2;-0.78;0;0;0;6
1953-3;5.67;0;0;0;0
1953-4;10.14;0;1;0;0
1953-5;13.5;1;9;0;0
1953-6;16.43;0;7;0;0
1953-7;19.19;4;13;0;0
1953-8;16.83;0;12;0;0
1953-9;15.24;0;7;0;0
1953-10;11.25;0;0;0;0
1953-11;2.29;0;0;0;0
1953-12;0.58;0;0;0;7
1954-1;-4.98;0;0;0;20
1954-2;-4.17;0;0;0;16
1954-3;5.84;0;0;0;0
1954-4;6.49;0;0;0;0
1954-5;11.61;0;2;0;0
1954-6;17.23;0;11;0;0
1954-7;15.58;0;6;0;0
1954-8;17.25;2;6;0;0
1954-9;15.35;0;6;0;0
1954-10;9.94;0;0;0;0
1954-11;3.09;0;0;0;2
1954-12;2.52;0;0;0;1
1955-1;-2.33;0;0;0;12
1955-2;-0.8;0;0;0;9
1955-3;0.54;0;0;0;5
1955-4;7.3;0;2;0;0
1955-5;12.19;0;2;0;0
1955-6;16.08;0;8;0;0
1955-7;17.82;1;10;0;0
1955-8;17.04;0;7;0;0
1955-9;14.29;0;1;0;0
1955-10;8.52;0;0;0;0
1955-11;2.55;0;0;0;2
1955-12;2.75;0;0;0;1
1956-1;0.5;0;0;0;4
1956-2;-11.78;0;0;0;27
1956-3;3.47;0;0;0;5
1956-4;6.93;0;0;0;1
1956-5;12.85;0;3;0;0
1956-6;13.94;0;4;0;0
1956-7;18.36;0;15;0;0
1956-8;16.74;1;8;0;0
1956-9;15.26;0;4;0;0
1956-10;8.43;0;1;0;0
1956-11;2.04;0;0;0;3
1956-12;-0.67;0;0;0;11
1957-1;-2.68;0;0;0;11
1957-2;4.28;0;0;0;0
1957-3;7.86;0;0;0;0
1957-4;7.86;0;0;0;0
1957-5;9.97;0;0;0;0
1957-6;17.98;1;14;0;0
1957-7;18.31;7;10;0;0
1957-8;16.31;1;8;0;0
1957-9;13.48;0;2;0;0
1957-10;9;0;0;0;0
1957-11;3.91;0;0;0;0
1957-12;-0.47;0;0;0;8
1958-1;-1.61;0;0;0;5
1958-2;1.9;0;0;0;7
1958-3;null;null;null;null;null
1958-4;6.22;0;0;0;0
1958-5;15.66;1;8;0;0
1958-6;15.34;0;5;0;0
1958-7;18.74;3;15;0;0
1958-8;18.26;2;13;0;0
1958-9;15.36;0;5;0;0
1958-10;8.58;0;0;0;0
1958-11;4.21;0;0;0;0
1958-12;1.09;0;0;0;4
1959-1;-1.69;0;0;0;8
1959-2;-2.29;0;0;0;6
1959-3;7.13;0;0;0;0
1959-4;10.19;0;0;0;0
1959-5;13.09;0;2;0;0
1959-6;15.66;0;8;0;0
1959-7;18.88;4;15;0;0
1959-8;17.27;0;13;0;0
1959-9;13.74;0;4;0;0
1959-10;8.9;0;0;0;0
1959-11;2.33;0;0;0;4
1959-12;1.59;0;0;0;3
1960-1;-2.27;0;0;0;10
1960-2;-0.93;0;0;0;7
1960-3;5.91;0;0;0;0
1960-4;8.69;0;0;0;0
1960-5;13.51;0;4;0;0
1960-6;16.92;0;9;0;0
1960-7;16.55;0;6;0;0
1960-8;17.38;2;8;0;0
1960-9;13.5;0;3;0;0
1960-10;10.07;0;0;0;0
1960-11;6.21;0;0;0;0
1960-12;-0.56;0;0;0;12
1961-1;-2.47;0;0;0;11
1961-2;4.3;0;0;0;0
1961-3;6.83;0;0;0;0
1961-4;12.48;0;1;0;0
1961-5;11;0;1;0;0
1961-6;16.93;2;10;0;0
1961-7;16.49;1;8;0;0
1961-8;17.4;2;12;0;0
1961-9;17.49;0;14;0;0
1961-10;11.08;0;1;0;0
1961-11;3.67;0;0;0;0
1961-12;-2.88;0;0;0;14
1962-1;0.41;0;0;0;6
1962-2;-0.53;0;0;0;7
1962-3;0.4;0;0;0;5
1962-4;9.85;0;7;0;0
1962-5;10.79;0;2;0;0
1962-6;14.32;1;8;0;0
1962-7;16.59;2;8;0;0
1962-8;18.84;3;15;0;0
1962-9;14.34;1;7;0;0
1962-10;9.05;0;0;0;0
1962-11;2.76;0;0;0;5
1962-12;-6.61;0;0;0;17
1963-1;-7.81;0;0;0;23
1963-2;-7.67;0;0;0;19
1963-3;2.54;0;0;0;1
1963-4;9.87;0;0;0;0
1963-5;12.24;0;0;0;0
1963-6;16.68;2;8;0;0
1963-7;18.84;1;15;0;0
1963-8;17.29;4;11;0;0
1963-9;15.25;0;0;0;0
1963-10;8.95;0;0;0;0
1963-11;8.09;0;0;0;0
1963-12;-5.12;0;0;0;18
1964-1;-6.79;0;0;0;20
1964-2;0.16;0;0;0;2
1964-3;1.5;0;0;0;7
1964-4;10.13;0;0;0;0
1964-5;13.91;0;3;0;0
1964-6;17.8;2;12;0;0
1964-7;19;4;18;0;0
