endDate;heatDays;summerDays;tropicalNights;iceDays
1951-08-15;null;null;null;null
1952-08-15;null;null;null;null
1953-08-15;null;null;null;null
1954-08-15;null;null;null;null
1955-08-15;null;null;null;null
1956-08-15;null;null;null;null
1957-08-15;null;null;null;null
1958-08-15;null;null;null;null
1959-08-15;null;null;null;null
1960-08-15;null;null;null;null
1961-08-15;null;null;null;null
1962-08-15;null;null;null;null
1963-08-15;null;null;null;null
1964-08-15;null;null;null;null
1965-08-15;null;null;null;null
1966-08-15;null;null;null;null
1967-08-15;null;null;null;null
1968-08-15;null;null;null;null
1969-08-15;null;null;null;null
1970-08-15;null;null;null;null
1971-08-15;null;null;null;null
1972-08-15;null;null;null;null
1973-08-15;null;null;null;null
1974-08-15;null;null;null;null
1975-08-15;null;null;null;null
1976-08-15;null;null;null;null
1977-08-15;null;null;null;null
1978-08-15;null;null;null;null
1979-08-15;null;null;null;null
1980-08-15;null;null;null;null
1981-08-15;null;null;null;null
1982-08-15;null;null;null;null
1983-08-15;null;null;null;null
1984-08-15;null;null;null;null
1985-08-15;null;null;null;null
1986-08-15;null;null;null;null
1987-08-15;null;null;null;null
1988-08-15;1;15;0;13
1989-08-15;0;3;0;1
1990-08-15;0;15;0;11
1991-08-15;1;16;0;16
1992-08-15;2;21;0;16
1993-08-15;1;13;0;19
1994-08-15;3;34;0;13
1995-08-15;1;21;0;18
1996-08-15;0;14;0;28
1997-08-15;0;6;0;7
1998-08-15;6;27;0;13
1999-08-15;2;16;0;17
2000-08-15;0;20;0;23
2001-08-15;2;15;0;13
2002-08-15;2;14;0;17
2003-08-15;3;38;0;27
2004-08-15;0;22;0;25
2005-08-15;3;23;0;35
2006-08-15;3;34;0;42
2007-08-15;4;21;0;6
2008-08-15;0;24;0;5
2009-08-15;1;15;0;22
2010-08-15;2;26;0;31
2011-08-15;0;18;0;14
2012-08-15;2;24;0;24
2013-08-15;11;29;0;28
2014-08-15;4;21;0;0
2015-08-15;9;40;0;18
2016-08-15;3;20;0;8
2017-08-15;1;30;0;17
2018-08-15;2;26;0;18
2019-08-15;9;31;0;13
2020-08-15;2;22;0;1
2021-08-15;0;25;0;25
2022-08-15;7;36;0;9
2023-08-15;3;25;0;11
2024-08-15;3;28;0;9
