year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1901;null;null;null;null;null
1902;null;null;null;null;null
1903;null;null;null;null;null
1904;null;null;null;null;null
1905;null;null;null;null;null
1906;null;null;null;null;null
1907;null;null;null;null;null
1908;null;null;null;null;null
1909;null;null;null;null;null
1910;null;null;null;null;null
1911;null;null;null;null;null
1912;null;null;null;null;null
1913;null;null;null;null;null
1914;null;null;null;null;null
1915;null;null;null;null;null
1916;null;null;null;null;null
1917;null;null;null;null;null
1918;null;null;null;null;null
1919;null;null;null;null;null
1920;null;null;null;null;null
1921;null;null;null;null;null
1922;null;null;null;null;null
1923;null;null;null;null;null
1924;null;null;null;null;null
1925;null;null;null;null;null
1926;null;null;null;null;null
1927;null;null;null;null;null
1928;null;null;null;null;null
1929;null;null;null;null;null
1930;null;null;null;null;null
1931;null;null;null;null;null
1932;null;null;null;null;null
1933;null;null;null;null;null
1934;null;null;null;null;null
1935;null;null;null;null;null
1936;null;null;null;null;null
1937;null;null;null;null;null
1938;null;null;null;null;null
1939;null;null;null;null;null
1940;null;null;null;null;null
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;null;null;null;null;null
1944;null;null;null;null;null
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;null;null;null;null;null
1949;null;null;null;null;null
1950;null;null;null;null;null
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;null;null;null;null;null
1958;null;null;null;null;null
1959;null;null;null;null;null
1960;null;null;null;null;null
1961;8.97;5;45;0;32
1962;7.41;4;42;0;38
1963;7.8;6;51;0;61
1964;8.26;0;48;0;38
1965;7.75;2;30;0;17
1966;9.02;1;28;0;21
1967;9.25;5;47;0;15
1968;8.66;4;36;0;32
1969;8.37;3;47;0;41
1970;8.45;1;43;0;31
1971;8.61;2;50;0;21
1972;8.59;3;41;1;36
1973;8.71;2;56;0;19
1974;9.7;9;37;0;4
1975;9.78;0;59;0;2
1976;8.76;5;37;0;26
1977;9.4;1;47;0;18
1978;8.08;2;26;0;29
1979;8.85;2;50;0;18
1980;8.24;2;31;0;27
1981;9.23;4;53;0;19
1982;9.24;2;61;0;28
1983;9.63;9;72;0;14
1984;8.57;2;31;0;15
1985;8.35;1;57;0;40
1986;8.64;9;62;0;38
1987;8.62;6;59;0;29
1988;9.54;16;52;0;10
1989;9.93;1;52;1;10
1990;9.7;4;58;0;17
1991;8.75;2;49;0;20
1992;10.25;26;76;0;13
1993;9.46;15;61;0;23
1994;10.66;22;79;0;12
1995;9.36;4;64;0;21
1996;8.42;4;50;0;41
1997;9.37;1;73;0;19
1998;9.91;14;59;1;18
1999;9.91;6;61;0;21
2000;10.98;18;70;0;11
2001;10.21;19;77;0;17
2002;10.92;13;73;1;19
2003;10.35;46;104;2;15
2004;9.87;8;55;1;13
2005;9.77;9;68;2;19
2006;10.05;22;60;0;19
2007;11;18;71;0;17
2008;10.59;5;70;0;9
2009;10.35;7;66;0;23
2010;9.45;14;61;0;37
2011;10.29;11;75;0;24
2012;10.6;19;79;1;17
2013;10.32;21;65;0;18
2014;11.3;5;50;0;15
2015;11.16;31;70;1;1
2016;10.66;6;72;0;13
2017;10.39;24;74;0;18
2018;11.04;14;96;0;13
2019;11.4;20;83;0;7
2020;10.66;6;67;0;12
2021;10.13;19;76;1;8
2022;11.22;22;81;3;5
2023;11.43;18;81;1;3
2024;null;5;31;0;2
