households,year,region,gas_convector,gas_central,oil_single,oil_central,coal_single,coal_central,wood_single,wood_central,electric,heatPump,remote,gas_sum,wood_sum,oil_sum,coal_sum,gas_sum_per100households,oil_sum_per100households,wood_sum_per100households,coal_sum_per100households,heatPump_per100households,remote_per100households,electric_per100households
3375279,2004,Austria,197538,674459,63161,847654,17130,42651,111096,473881,252419,103602,591688,871997,584977,910815,59781,25.8,27.0,17.3,1.8,3.1,17.5,7.5
3493422,2006,Austria,168839,721854,50552,882962,11738,31332,105833,572812,237087,40192,670221,890693,678645,933514,43070,25.5,26.7,19.4,1.2,1.2,19.2,6.8
3554893,2008,Austria,153681,744516,33330,761604,8550,27268,136434,616150,222980,60751,789629,898197,752584,794934,35818,25.3,22.4,21.2,1.0,1.7,22.2,6.3
3610456,2010,Austria,136965,768686,24229,707606,3502,20319,111741,608809,274028,114548,840023,905651,720550,731835,23821,25.1,20.3,20.0,0.7,3.2,23.3,7.6
3669178,2012,Austria,141872,749479,19012,673002,5422,10420,113187,634071,258811,149701,914201,891351,747258,692014,15842,24.3,18.9,20.4,0.4,4.1,24.9,7.1
3745551,2014,Austria,85533,816036,16863,602545,2839,8682,119772,637658,219984,191151,1044488,901569,757430,619408,11521,24.1,16.5,20.2,0.3,5.1,27.9,5.9
3840805,2016,Austria,79048,848541,14865,608633,1964,6545,119078,594022,223904,233575,1110630,927589,713100,623498,8509,24.2,16.2,18.6,0.2,6.1,28.9,5.8
3890099,2018,Austria,69105,844346,11239,614870,1639,6002,99716,625040,210648,294760,1112734,913451,724756,626109,7641,23.5,16.1,18.6,0.2,7.6,28.6,5.4
3969166,2020,Austria,56144,889114,5174,576220,0,0,98621,591080,230390,326184,1187313,945258,689701,581394,0,23.8,14.6,17.4,0.0,8.2,29.9,5.8
4040331,2022,Austria,22517,870523,7176,510202,0,0,65338,650354,231895,468029,1214298,893040,715692,517378,0,22.1,12.8,17.7,0.0,11.6,30.1,5.7
4135500,2024,Austria,13670,830021,5330,437812,0,0,56516,612392,258086,591874,1329799,843691,668908,443142,0,20.4,10.7,16.2,0.0,14.3,32.2,6.2
106264,2004,Burgenland,4434,23497,1091,25992,595,2202,6073,24909,10772,4559,2140,27931,30982,27083,2797,26.3,25.5,29.2,2.6,4.3,2.0,10.1
110187,2006,Burgenland,3947,23669,1259,25777,0,708,3636,36176,10146,1151,3718,27616,39812,27036,708,25.1,24.5,36.1,0.6,1.0,3.4,9.2
112777,2008,Burgenland,4327,25335,1079,21921,0,1679,8436,31924,10226,2109,5741,29662,40360,23000,1679,26.3,20.4,35.8,1.5,1.9,5.1,9.1
115226,2010,Burgenland,2938,27396,500,21448,0,0,6741,33086,12978,3406,6733,30334,39827,21948,0,26.3,19.0,34.6,0.0,3.0,5.8,11.3
117303,2012,Burgenland,2595,26414,0,18679,0,374,7569,36618,11151,6372,7531,29009,44187,18679,374,24.7,15.9,37.7,0.3,5.4,6.4,9.5
119102,2014,Burgenland,1686,31131,0,14853,0,546,5619,36147,9535,7344,12241,32817,41766,14853,546,27.6,12.5,35.1,0.5,6.2,10.3,8.0
121729,2016,Burgenland,1571,31886,0,18933,0,374,6210,33316,11946,10851,6642,33457,39526,18933,374,27.5,15.6,32.5,0.3,8.9,5.5,9.8
123780,2018,Burgenland,1194,31514,0,19621,0,0,6349,36270,7510,14598,6724,32708,42619,19621,0,26.4,15.9,34.4,0.0,11.8,5.4,6.1
126318,2020,Burgenland,0,33536,0,16869,0,0,5121,35383,7821,13490,14098,33536,40504,16869,0,26.5,13.4,32.1,0.0,10.7,11.2,6.2
