endDate;heatDays;summerDays;tropicalNights;iceDays
1972-06-12;null;null;null;null
1973-06-12;null;null;null;null
1974-06-12;null;null;null;null
1975-06-12;null;null;null;null
1976-06-12;null;null;null;null
1977-06-12;null;null;null;null
1978-06-12;null;null;null;null
1979-06-12;2;18;0;24
1980-06-12;0;0;0;17
1981-06-12;3;8;0;25
1982-06-12;1;11;0;28
1983-06-12;1;14;0;15
1984-06-12;0;3;0;16
1985-06-12;0;8;0;31
1986-06-12;0;8;0;31
1987-06-12;0;1;0;36
1988-06-12;0;1;0;8
1989-06-12;0;0;0;13
1990-06-12;0;0;0;9
1991-06-12;0;0;0;19
1992-06-12;0;7;0;10
1993-06-12;0;21;0;20
1994-06-12;1;4;0;8
1995-06-12;0;6;0;13
1996-06-12;2;14;1;46
1997-06-12;1;10;0;20
1998-06-12;3;15;0;14
1999-06-12;0;10;0;15
2000-06-12;3;19;0;12
2001-06-12;0;12;0;12
2002-06-12;0;7;0;13
2003-06-12;2;22;0;21
2004-06-12;2;5;0;13
2005-06-12;0;0;0;0
2006-06-12;null;null;null;null
2007-06-12;null;null;null;null
2008-06-12;1;8;0;11
2009-06-12;0;7;0;29
2010-06-12;2;7;1;37
2011-06-12;0;16;0;18
2012-06-12;1;11;0;18
2013-06-12;0;8;0;29
2014-06-12;4;10;0;2
2015-06-12;2;8;0;4
2016-06-12;0;5;0;7
2017-06-12;0;11;0;23
2018-06-12;2;26;0;15
2019-06-12;1;10;0;11
2020-06-12;0;4;0;3
2021-06-12;0;9;0;11
2022-06-12;null;null;null;null
2023-06-12;null;null;null;null
