month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1956-1;0.38;0;0;0;3
1956-2;-11.57;0;0;0;25
1956-3;3.91;0;0;0;5
1956-4;7.76;0;0;0;0
1956-5;12.9;1;3;0;0
1956-6;13.94;1;4;0;0
1956-7;18.35;0;15;0;0
1956-8;17.18;1;10;0;0
1956-9;15.84;0;9;0;0
1956-10;8.31;0;0;0;0
1956-11;1.52;0;0;0;2
1956-12;-0.45;0;0;0;5
1957-1;-1.97;0;0;0;7
1957-2;4.21;0;0;0;0
1957-3;8.25;0;0;0;0
1957-4;8.32;0;0;0;0
1957-5;10.22;0;1;0;0
1957-6;17.46;1;16;0;0
1957-7;17.64;8;10;0;0
1957-8;16.26;1;10;0;0
1957-9;13.15;0;2;0;0
1957-10;9.5;0;0;0;0
1957-11;4.74;0;0;0;0
1957-12;0.68;0;0;0;2
1958-1;-2.53;0;0;0;6
1958-2;1.68;0;0;0;4
1958-3;0.41;0;0;0;7
1958-4;7.1;0;0;0;0
1958-5;16.02;3;13;0;0
1958-6;15.87;0;7;0;0
1958-7;18.69;3;17;0;0
1958-8;18.35;5;16;0;0
1958-9;15.84;0;7;0;0
1958-10;9.1;0;1;0;0
1958-11;3.56;0;0;0;0
1958-12;0.94;0;0;0;3
1959-1;-1.95;0;0;0;9
1959-2;1.62;0;0;0;0
1959-3;7.97;0;0;0;0
1959-4;10.18;0;2;0;0
1959-5;13.14;0;4;0;0
1959-6;15.75;0;9;0;0
1959-7;18.75;4;17;0;0
1959-8;17.05;0;12;0;0
1959-9;14.22;0;4;0;0
1959-10;9.22;0;0;0;0
1959-11;3.47;0;0;0;0
1959-12;1.26;0;0;0;3
1960-1;-2.01;0;0;0;10
1960-2;1.41;0;0;0;2
1960-3;6.87;0;0;0;0
1960-4;8.72;0;0;0;0
1960-5;14.07;0;8;0;0
1960-6;17.35;0;13;0;0
1960-7;16.41;1;7;0;0
1960-8;17.1;3;9;0;0
1960-9;13.18;0;2;0;0
1960-10;10;0;1;0;0
1960-11;5.66;0;0;0;0
1960-12;-0.75;0;0;0;7
1961-1;-2.6;0;0;0;6
1961-2;3.31;0;0;0;0
1961-3;6.42;0;0;0;0
1961-4;12.6;0;1;0;0
1961-5;11.58;0;2;0;0
1961-6;17.08;2;9;0;0
1961-7;16.8;3;8;0;0
1961-8;17.03;3;14;0;0
