year;annualtemp
1896;null
1897;null
1898;null
1899;null
1900;null
1901;null
1902;null
1903;null
1904;null
1905;null
1906;null
1907;null
1908;null
1909;null
1910;null
1911;null
1912;null
1913;null
1914;null
1915;null
1916;null
1917;null
1918;null
1919;null
1920;null
1921;null
1922;null
1923;null
1924;null
1925;null
1926;null
1927;null
1928;null
1929;null
1930;null
1931;null
1932;null
1933;null
1934;null
1935;null
1936;9.01
1937;9.07
1938;null
1939;8.42
1940;7.24
1941;7.98
1942;8.37
1943;9.56
1944;8.4
1945;null
1946;8.98
1947;9.7
1948;9.76
1949;10.26
1950;10.16
1951;10.06
1952;9.52
1953;9.5
1954;null
1955;8.61
1956;7.89
1957;9.46
1958;9.28
1959;10.02
1960;9.59
1961;10.48
1962;8.63
1963;8.35
1964;9.04
1965;8.39
1966;9.02
1967;8.69
1968;8.34
1969;8.03
1970;8.12
1971;8.17
1972;8.39
1973;8.58
1974;9.5
1975;9.2
1976;9.21
1977;9.33
1978;8.58
1979;9.22
1980;8.43
1981;9.15
1982;9.68
1983;9.61
1984;9.05
1985;8.83
1986;9.18
1987;8.96
1988;10.24
1989;10.07
1990;10.25
1991;9.41
1992;10.34
1993;10.07
1994;11.5
1995;10.21
1996;8.95
1997;10.11
1998;10.12
1999;9.83
2000;10.83
2001;10.12
2002;10.66
2003;10.54
2004;9.88
2005;9.6
2006;10.21
2007;10.77
2008;10.87
2009;10.82
2010;9.71
2011;11.05
2012;10.77
2013;10.03
2014;11.86
2015;11.21
2016;10.92
2017;10.99
2018;12.29
2019;11.66
2020;11.6
