year,energy_ipc1_Mt_CO2e,industrial_processes_and_product_use_ipc2_Mt_CO2e,waste_ipc4_Mt_CO2e,other_ipc5_Mt_CO2e,total_AR6_Mt_CO2e,agriculture_and_livestock_ipcmag_Mt_CO2e
1750,9.52,0,0.674,0,21.9,11.8
1751,9.53,0,0.677,0,22,11.8
1752,9.54,0,0.68,0,22.1,11.9
1753,9.55,0,0.683,0,22.1,11.9
1754,9.56,0,0.686,0,22.2,12
1755,9.57,0,0.688,0,22.3,12
1756,9.58,0,0.691,0,22.3,12.1
1757,9.58,0,0.694,0,22.4,12.1
1758,9.59,0,0.697,0,22.4,12.2
1759,9.6,0,0.7,0,22.5,12.2
1760,9.61,0,0.703,0,22.6,12.3
1761,9.61,0,0.706,0,22.6,12.3
1762,9.62,0,0.709,0,22.7,12.4
1763,9.63,0,0.712,0,22.8,12.4
1764,9.63,0,0.715,0,22.8,12.5
1765,9.64,0,0.718,0,22.9,12.5
1766,9.65,0,0.72,0,22.9,12.6
1767,9.65,0,0.723,0,23,12.6
1768,9.66,0,0.726,0,23,12.7
1769,9.66,0,0.729,0,23.1,12.7
1770,9.67,0,0.732,0,23.2,12.8
1771,9.67,0,0.735,0,23.2,12.8
1772,9.67,0,0.738,0,23.3,12.9
1773,9.68,0,0.741,0,23.3,12.9
1774,9.68,0,0.744,0,23.4,13
1775,9.68,0,0.747,0,23.5,13
1776,9.69,0,0.75,0,23.5,13.1
1777,9.69,0,0.752,0,23.6,13.1
1778,9.69,0,0.755,0,23.6,13.2
1779,9.7,0,0.758,0,23.7,13.2
1780,9.7,0,0.761,0,23.7,13.3
1781,9.7,0,0.764,0,23.8,13.3
1782,9.7,0,0.767,0,23.8,13.4
1783,9.7,0,0.77,0,23.9,13.4
1784,9.7,0,0.773,0,24,13.5
1785,9.7,0,0.776,0,24,13.5
1786,9.7,0,0.779,0,24.1,13.6
1787,9.7,0,0.781,0,24.1,13.6
1788,9.7,0,0.784,0,24.2,13.7
1789,9.7,0,0.787,0,24.2,13.7
1790,9.7,0,0.79,0,24.3,13.8
1791,9.7,0,0.793,0,24.3,13.8
1792,10.2,0.0459,0.796,0,24.9,13.9
1793,10.2,0.0469,0.799,0,25,13.9
1794,10.2,0.0434,0.802,0,25,14
1795,10.2,0.0437,0.805,0,25.1,14
1796,10.3,0.0523,0.808,0,25.2,14.1
1797,10.3,0.0538,0.811,0,25.3,14.1
1798,10.3,0.0563,0.813,0,25.4,14.2
1799,10.4,0.0613,0.816,0,25.5,14.2
1800,10.6,0.0778,0.819,0,25.7,14.3
1801,10.3,0.0523,0.822,0,25.5,14.3
1802,10.3,0.0541,0.825,0,25.6,14.4
1803,10.3,0.0523,0.828,0,25.6,14.4
1804,10.8,0.0986,0.831,0,26.2,14.5
1805,10.8,0.102,0.834,0,26.3,14.5
1806,10.7,0.0917,0.837,0,26.2,14.6
1807,12.6,0.263,0.84,0,28.3,14.6
1808,10.6,0.0878,0.843,0,26.3,14.7
1809,10.7,0.091,0.845,0,26.3,14.7
1810,10.7,0.0957,0.848,0,26.4,14.8
1811,10.6,0.0907,0.851,0,26.4,14.8
1812,10.6,0.0892,0.854,0,26.5,14.9
1813,10.6,0.0871,0.857,0,26.5,14.9
1814,10.6,0.0864,0.86,0,26.5,15
1815,10.7,0.101,0.863,0,26.7,15
1816,12.2,0.233,0.866,0,28.4,15.1
1817,13.3,0.331,0.869,0,29.6,15.2
1818,13.5,0.345,0.872,0,29.9,15.2
1819,13.2,0.32,0.875,0,29.6,15.3
1820,13.3,0.331,0.877,0,29.8,15.3
1821,13.5,0.345,0.889,0,30.2,15.5
1822,13.7,0.355,0.9,0,30.6,15.7
1823,14.2,0.395,0.911,0,31.4,15.9
1824,13.4,0.316,0.922,0,30.7,16.1
1825,14.7,0.424,0.933,0,32.3,16.3
1826,14.6,0.41,0.944,0,32.4,16.5
1827,15.1,0.444,0.955,0,33.1,16.7
1828,15.1,0.444,0.966,0,33.4,16.8
1829,14.2,0.355,0.977,0,32.6,17
1830,15.6,0.469,0.988,0,34.3,17.2
1831,15.4,0.449,0.999,0,34.3,17.4
1832,14.2,0.337,1.01,0,33.2,17.6
1833,15.3,0.428,1.02,0,34.6,17.8
1834,15.4,0.431,1.03,0,34.9,18
1835,16.1,0.482,1.04,0,35.8,18.2
1836,16.4,0.508,1.05,0,36.3,18.4
1837,17.3,0.582,1.06,0,37.5,18.6
1838,18.1,0.649,1.07,0,38.6,18.7
1839,18.6,0.687,1.09,0,39.3,18.9
1840,21,0.897,1.1,0,42.1,19.1
1841,21.5,0.934,1.11,0,42.8,19.3
1842,23,1.06,1.12,0,44.6,19.4
1843,22.4,1.01,1.12,0,44.1,19.6
1844,23.1,1.06,1.13,0,45,19.8
1845,25,1.23,1.14,0,47.3,19.9
1846,25.7,1.29,1.15,0,48.2,20.1
1847,26.4,1.35,1.16,0,49.2,20.3
1848,25.3,1.25,1.17,0,48.2,20.4
1849,26.3,1.33,1.18,0,49.3,20.6
1850,27.9,1.48,1.19,0,52.5,21.9
1851,29.8,1.65,1.2,0,54.7,22
1852,32.3,1.88,1.21,0,57.6,22.2
1853,34,2.03,1.21,0,59.6,22.4
1854,37.8,2.39,1.22,0,63.9,22.5
1855,42.3,2.8,1.23,0,69,22.7
1856,44.7,3.03,1.24,0,71.8,22.9
1857,46.8,3.22,1.25,0,74.3,23
1858,49.7,3.49,1.26,0,77.6,23.2
1859,47.7,3.31,1.27,0,75.6,23.3
1860,50.5,3.56,1.27,0,78.8,23.5
1861,55.8,4.04,1.28,0,84.8,23.7
1862,60.2,4.46,1.3,0,89.8,23.9
1863,64.3,4.83,1.31,0,94.5,24.1
1864,72,5.54,1.32,0,103,24.3
1865,79.3,6.21,1.33,0,111,24.4
1866,78.6,6.15,1.34,0,111,24.6
1867,85.1,6.76,1.35,0,118,24.8
1868,90.6,7.26,1.36,0,124,25
1869,93.9,7.58,1.37,0,128,25.2
1870,92.8,7.48,1.38,0,127,25.4
1871,102,8.33,1.4,0,137,25.7
1872,109,8.99,1.41,0,146,26
1873,116,9.6,1.43,0,153,26.4
1874,87.1,6.98,1.45,0,122,26.8
1875,119,9.9,1.47,0,157,27.1
1876,121,10.1,1.5,0,160,27.5
1877,119,9.87,1.52,0,158,27.9
1878,122,10.2,1.54,0,162,28.3
1879,129,10.8,1.56,0,170,28.6
1880,143,12.1,1.57,0,186,28.9
1881,153,13.1,1.59,0,197,29.2
1882,163,14,1.6,0,208,29.5
1883,173,14.9,1.62,0,220,29.8
1884,178,15.3,1.63,0,225,30
1885,182,15.7,1.65,0,229,30.3
1886,183,15.9,1.66,0,232,30.6
1887,191,16.6,1.67,0,240,30.8
1888,208,18.1,1.69,0,259,31.1
1889,221,19.4,1.7,0,274,31.4
1890,231,20.3,1.72,0,285,31.3
1891,245,21.5,1.74,0,300,32
1892,238,20.9,1.77,0,294,32.7
1893,244,21.5,1.79,0,301,33.4
1894,254,22.3,1.81,0,312,34.1
1895,263,23.2,1.84,0,323,34.7
1896,282,24.9,1.86,0,344,35.3
1897,301,26.6,1.88,0,365,35.9
1898,313,27.8,1.91,0,379,36.4
1899,332,29.5,1.93,0,401,36.9
1900,357,31.8,1.96,0,428,37.3
1901,356,31.7,1.99,0,427,37.8
1902,349,31.1,2.02,0,421,38.3
1903,375,33.5,2.05,0,449,38.8
1904,389,34.7,2.08,0,464,39.2
1905,416,37.3,2.12,0,495,39.6
1906,395,35.3,2.15,0,472,40
1907,480,43.1,2.18,0,566,40.4
1908,485,43.5,2.21,0,572,40.9
1909,484,43.4,2.25,0,571,41.3
1910,484,43.4,2.28,0,571,41.8
1911,498,44.7,2.28,0,587,41.7
1912,541,48.7,2.27,0,634,41.6
1913,580,52.2,2.27,0,676,41.5
1914,540,48.7,2.27,0,632,41.5
1915,502,45.3,2.27,0,591,41.4
