year,state,energy_co2e_t,energy_co2e_t_percapita,industry_co2e_t,industry_co2e_t_percapita,buildings_co2e_t,buildings_co2e_t_percapita,traffic_co2e_t,traffic_co2e_t_percapita,agriculture_co2e_t,agriculture_co2e_t_percapita,waste_and_other_co2e_t,waste_and_other_co2e_t_percapita,total_co2e_t,total_co2e_t_percapita,population,international_flight_co2e_t
1990,DE,474776803.38,5.95,277641536.83,3.48,210027183.96,2.63,163355366.17,2.05,85776819.71,1.08,41550208.21,0.52,1253127918.26,15.71,79753227,12133286.21
1991,DE,459949696.94,5.73,252314267.92,3.14,208432181.91,2.60,166303237.62,2.07,76296539.54,0.95,43096386.91,0.54,1206392310.84,15.03,80274564,11938410.59
1992,DE,435679888.62,5.38,241004795.83,2.98,190277458.33,2.35,172167927.88,2.13,75156390.53,0.93,43690552.79,0.54,1157977013.98,14.30,80974632,12943167.55
1993,DE,425929865.93,5.24,231283090.84,2.84,197005989.02,2.42,176492864.55,2.17,74360189.43,0.91,43410594.57,0.53,1148482594.33,14.12,81338093,13892792.70
1994,DE,420019112.36,5.15,234840566.47,2.88,186224559.00,2.28,172463218.60,2.12,74934669.62,0.92,42331817.93,0.52,1130813943.99,13.87,81538603,14543791.47
1995,DE,406940801.64,4.97,236720990.90,2.89,187711038.13,2.29,176122481.68,2.15,74844108.02,0.91,41064653.72,0.50,1123404074.09,13.73,81817499,15045608.12
1996,DE,412876984.67,5.03,225512808.87,2.75,210884615.71,2.57,175706383.59,2.14,75949608.98,0.93,39269523.66,0.48,1140199925.48,13.90,82012162,15941854.82
1997,DE,391013890.23,4.77,230065618.94,2.80,197654226.37,2.41,176120931.59,2.15,73963672.98,0.90,35964229.90,0.44,1104782570.02,13.46,82057379,16528167.12
1998,DE,390964335.55,4.77,213088455.30,2.60,189510661.37,2.31,179396535.96,2.19,73589188.78,0.90,33433339.54,0.41,1079982516.51,13.16,82037011,17048983.66
1999,DE,379992623.46,4.62,202999328.17,2.47,172831286.23,2.10,184529662.19,2.25,73737611.69,0.90,31447017.08,0.38,1045537528.83,12.73,82163475,18420651.33
2000,DE,390848309.29,4.75,202493488.43,2.46,166789232.75,2.03,180586385.20,2.20,72708344.38,0.88,29572460.03,0.36,1042998220.07,12.68,82259540,19555738.03
2001,DE,400846004.34,4.86,191951888.84,2.33,187079219.84,2.27,176693771.67,2.14,72942642.86,0.88,27568820.35,0.33,1057082347.90,12.82,82440309,19076074.71
2002,DE,400960868.81,4.86,189741931.18,2.30,174080607.54,2.11,174183317.03,2.11,71843233.18,0.87,25848040.38,0.31,1036657998.13,12.56,82536680,18999892.70
2003,DE,416977624.15,5.05,189059798.33,2.29,164266626.97,1.99,167441535.73,2.03,68730903.15,0.83,24062269.04,0.29,1030538757.36,12.49,82531671,19235987.11
