year,total_co2e_t
1990,1054740644
1991,1016870291
1992,969474183.1
1993,959367197.9
1994,943184836.5
1995,939897145.2
1996,959653347.9
1997,931486945.6
1998,923466992.5
1999,895402127.9
2000,898938036
2001,915242151.9
2002,898834508.6
2003,899858375.1
2004,885632527.8
2005,865470707.1
2006,877497664.5
2007,850229804.4
2008,852857862.6
2009,788285819.8
2010,831129584.3
2011,807613931.8
2012,812815529.9
2013,833804367.1
2014,794738545.6
2015,798084702.4
2016,801744547.5
2017,785985851
2018,754811138.1
2019,707491365
2020,647252332.9
2021,678798872.2
2022,666454401.2
