year,state,co2e_mio_t_incl_LULUCF
1990,DE,1287.2
1991,DE,1180.1
1992,DE,1122.2
1993,DE,1112.0
1994,DE,1098.5
1995,DE,1097.5
1996,DE,1121.2
1997,DE,1086.2
1998,DE,1061.5
1999,DE,1023.1
2000,DE,1040.0
2001,DE,1045.2
2002,DE,1055.5
2003,DE,1046.7
2004,DE,1022.4
2005,DE,992.8
2006,DE,992.8
2007,DE,968.8
2008,DE,963.5
2009,DE,888.2
2010,DE,929.7
2011,DE,898.7
2012,DE,895.9
2013,DE,917.3
2014,DE,884.4
2015,DE,885.5
2016,DE,884.8
2017,DE,870.9
2018,DE,838.5
2019,DE,787.8
2020,DE,735.1
2021,DE,764.4
2022,DE,743.8
