year,co2_excl_LULUCF
1850,15.1
1851,16.9
1852,19.2
1853,20.8
1854,24.4
1855,28.6
1856,30.9
1857,32.9
1858,35.6
1859,33.8
1860,36.4
1861,41.3
1862,45.5
1863,49.4
1864,56.6
1865,63.5
1866,62.9
1867,69.2
1868,74.4
1869,77.6
1870,76.6
1871,85.3
1872,92.1
1873,98.4
1874,71.6
1875,101.5
1876,103.4
1877,101.3
1878,104.5
1879,110.8
1880,124.5
1881,134.3
1882,143.7
1883,153.1
1884,157.5
1885,161.2
1886,163.0
1887,170.4
1888,186.3
1889,198.8
1890,208.2
1891,220.8
1892,215.0
1893,220.7
1894,229.5
1895,238.3
1896,256.3
1897,273.6
1898,285.4
1899,303.3
1900,326.8
1901,325.6
1902,319.2
1903,343.6
1904,356.1
1905,382.3
1906,361.9
1907,442.2
1908,446.6
1909,445.6
1910,445.4
1911,458.6
1912,499.1
1913,535.1
1914,497.9
1915,462.9
1916,500.7
1917,524.6
1918,503.4
1919,387.4
1920,429.2
1921,473.2
1922,455.5
1923,331.9
1924,451.8
1925,458.1
1926,413.2
1927,481.2
1928,505.0
1929,539.2
1930,462.1
1931,386.0
1932,347.5
1933,365.0
1934,408.6
1935,452.3
1936,499.6
1937,563.5
1938,601.3
1939,648.6
1940,654.3
1941,660.8
1942,667.9
1943,679.4
1944,600.3
1945,116.1
1946,271.7
1947,317.7
1948,377.8
1949,432.1
1950,510.7
1951,576.9
1952,611.0
1953,623.5
1954,659.7
1955,723.5
1956,766.2
1957,777.9
1958,756.4
1959,755.8
1960,814.0
1961,834.8
1962,883.2
1963,945.5
1964,968.9
1965,960.1
1966,951.4
1967,936.2
1968,984.8
1969,1052.0
1970,1026.0
1971,1037.2
1972,1041.5
1973,1085.7
1974,1062.7
1975,1002.4
1976,1090.8
1977,1052.6
1978,1079.1
1979,1117.9
1980,1100.1
1981,1048.5
1982,1015.7
1983,1011.6
1984,1033.2
1985,1044.1
1986,1047.5
1987,1032.4
1988,1029.0
1989,1008.8
1990,1052.0
1991,1013.8
1992,965.5
1993,955.8
1994,939.5
1995,938.6
1996,958.7
1997,930.9
1998,922.8
1999,895.4
2000,899.4
2001,916.1
2002,899.4
2003,900.6
2004,886.6
2005,866.3
2006,877.9
2007,851.2
2008,854.5
2009,789.9
2010,832.5
2011,808.9
2012,813.7
2013,831.2
2014,792.3
2015,795.6
2016,800.3
2017,785.6
2018,754.4
2019,707.1
2020,639.4
2021,674.8
2022,666.5
