year,1343_linear,1343_percentage,1343_nochange,2443_linear,2443_percentage,2443_nochange,5443_linear,5443_percentage,5443_nochange,ksg
2019,693.00,693.00,693.00,693.00,693.00,693.00,693.00,693.00,693.00,800.00
2020,643.70,643.70,643.70,643.70,643.70,643.70,643.70,643.70,643.70,813.00
2021,675.10,675.10,675.10,675.10,675.10,675.10,675.10,675.10,675.10,786.00
2022,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,756.00
2023,527.60,441.20,657.00,578.90,518.40,657.00,619.60,591.30,657.00,705.90
2024,398.10,296.20,657.00,500.70,409.00,657.00,582.10,532.17,657.00,665.80
2025,268.70,198.90,29.00,422.60,322.70,657.00,544.70,478.95,657.00,625.60
2026,139.20,133.60,0.00,344.40,254.60,472.00,507.30,431.06,657.00,584.50
2027,9.80,89.70,,266.30,200.90,0.00,469.90,387.95,657.00,544.40
2028,,60.20,,188.10,158.50,,432.40,349.16,657.00,501.30
2029,,40.40,,110.00,125.10,,395.00,314.24,657.00,458.10
2030,,27.20,,31.80,98.70,,357.60,282.82,657.00,413.00
2031,,18.20,,0.00,77.80,,320.20,254.54,187.00,383.80
2032,,12.20,,,61.40,,282.70,229.08,0.00,345.60
2033,,8.20,,,48.50,,245.30,206.17,,319.70
2034,,5.50,,,38.20,,207.90,185.56,,293.90
2035,,3.70,,,30.20,,170.50,167.00,,255.60
2036,,2.50,,,23.80,,133.00,150.30,,229.80
2037,,1.70,,,18.80,,95.60,135.27,,204.00
2038,,1.10,,,14.80,,58.20,121.74,,178.10
2039,,0.80,,,11.70,,20.80,109.57,,139.90
2040,,0.50,,,9.20,,0.00,98.61,,114.00
2041,,0.30,,,7.30,,,88.75,,91.20
2042,,0.20,,,5.70,,,79.88,,68.40
2043,,0.20,,,4.50,,,71.89,,45.60
2044,,0.10,,,3.60,,,64.70,,22.80
2045,,0.00,,,0.00,,,0.00,,0.00
