year;unit;consumption_based;production_based
1990;CO2;1191880000;1054740644
1991;CO2;1141499000;1016870291
1992;CO2;1204146000;969474183.1
1993;CO2;1157456000;959367197.9
1994;CO2;1131144000;943184836.5
1995;CO2;1137737000;939897145.2
1996;CO2;1121307000;959653347.9
1997;CO2;1076089000;931486945.6
1998;CO2;1078518000;923466992.5
1999;CO2;1087947000;895402127.9
2000;CO2;1082722000;898938036
2001;CO2;1080907000;915242151.9
2002;CO2;1027690000;898834508.6
2003;CO2;1067730000;899858375.1
2004;CO2;1051382000;885632527.8
2005;CO2;1049373000;865470707.1
2006;CO2;1042962000;877497664.5
2007;CO2;1042101000;850229804.4
2008;CO2;1040801000;852857862.6
2009;CO2;974961000;788285819.8
2010;CO2;1024598000;831129584.3
2011;CO2;983668000;807613931.8
2012;CO2;918708000;812815529.9
2013;CO2;928486000;833804367.1
2014;CO2;906227000;794738545.6
2015;CO2;893686000;798084702.4
2016;CO2;911490000;801744547.5
2017;CO2;899570000;785985851
2018;CO2;884778000;754811138.1
2019;CO2;842850000;707491365
2020;CO2;769492000;647252332.9
2021;CO2;;678798872.2
2022;CO2;;666454401.2
