                     .;2024;2025;2023;Durchschnittlicher Gasverbrauch 2018-2021;Minimum 2018-2021;Maximum 2018-2021
1;3223;3673;2497;3933;3495;4587
2;4786;3949;2802;4189;3790;4781
3;4565;;3860;4101;3715;4384
4;3418;;4114;4398;3599;4993
5;3209;;3487;4070;3598;4574
6;3059;;3844;4571;3808;5712
7;2826;;3048;3937;3687;4356
8;2972;;3013;3705;3158;4687
9;3089;;3663;3984;3169;5252
10;3025;;3467;3546;3184;3736
11;2652;;2676;3613;3255;4018
12;2612;;2287;3367;2973;4033
13;2397;;2613;3024;2592;3331
14;2048;;2709;2998;2569;3546
15;1773;;2360;2670;1944;3601
16;2549;;2180;2238;1749;2841
17;2701;;2180;2126;1869;2720
18;1588;;1754;2272;1879;2725
19;1660;;1584;2053;1521;2549
20;1437;;1547;2118;1658;2317
21;1465;;1429;1812;1455;2185
22;1473;;1318;1607;1374;1766
23;1524;;1256;1565;1443;1680
24;1513;;1267;1576;1492;1735
25;1400;;1262;1586;1500;1700
26;1261;;1234;1549;1471;1614
27;1327;;1213;1523;1441;1570
28;1273;;1202;1590;1497;1713
29;1223;;1233;1544;1434;1680
30;1222;;1200;1451;1369;1599
31;1196;;1196;1456;1375;1527
32;1188;;1248;1435;1371;1553
33;1166;;1178;1470;1420;1512
34;1178;;1260;1529;1504;1571
35;1271;;1345;1576;1495;1617
36;1289;;1253;1625;1531;1722
37;1519;;1287;1682;1565;1804
38;1490;;1292;1780;1554;2033
39;1602;;1381;1966;1843;2121
40;2007;;1484;2283;2241;2389
41;2003;;1637;2407;2002;2656
42;2127;;2240;2543;2216;3052
43;2144;;2265;2628;2424;2794
44;2312;;2231;2981;2652;3118
45;3226;;2668;3146;2825;3503
46;3296;;2857;3414;3178;3777
47;3587;;3298;3807;3317;4090
48;3364;;4303;3923;3624;4109
49;3548;;3991;4033;3385;4427
50;3989;;3291;4081;3702;4347
51;3329;;3096;3758;3375;4249
52;3447;;2568;3349;3007;3570