year;mean_temperature_germany
1881;7.31
1882;8.34
1883;7.88
1884;8.57
1885;7.74
1886;8.02
1887;6.95
1888;6.85
1889;7.38
1890;7.31
1891;7.43
1892;7.50
1893;7.91
1894;8.13
1895;7.31
1896;7.58
1897;7.95
1898;8.50
1899;8.09
1900;8.35
1901;7.64
1902;7.17
1903;8.35
1904;8.36
1905;7.95
1906;8.29
1907;7.80
1908;7.47
1909;7.35
1910;8.41
1911;9.05
1912;7.86
1913;8.53
1914;8.52
1915;7.91
1916;8.45
1917;7.54
1918;8.53
1919;7.32
1920;8.63
1921;9.00
1922;7.19
1923;7.99
1924;7.53
1925;8.32
1926;8.74
1927;8.04
1928;8.35
1929;7.36
1930;8.76
1931;7.55
1932;8.33
1933;7.62
1934;9.54
1935;8.42
1936;8.38
1937;8.59
1938;8.60
1939;8.30
1940;6.63
1941;7.16
1942;7.28
1943;8.88
1944;8.29
1945;8.98
1946;8.38
1947;8.51
1948;9.05
1949;9.14
1950;8.60
1951;8.72
1952;7.94
1953;8.94
1954;7.70
1955;7.54
1956;6.84
1957;8.58
1958;8.21
1959;9.03
1960;8.41
1961;8.94
1962;7.15
1963;7.10
1964;8.13
1965;7.48
1966;8.51
1967;8.89
1968;8.15
1969;7.75
1970;7.71
1971;8.43
1972;7.82
1973;8.21
1974;8.82
1975;8.93
1976;8.47
1977;8.67
1978;7.79
1979;7.72
1980;7.63
1981;8.19
1982;8.90
1983;9.04
1984;7.97
1985;7.42
1986;7.93
1987;7.44
1988;9.06
1989;9.47
1990;9.49
1991;8.35
1992;9.37
1993;8.47
1994;9.70
1995;8.90
1996;7.20
1997;8.89
1998;9.06
1999;9.49
2000;9.87
2001;9.02
2002;9.56
2003;9.38
2004;8.94
2005;8.99
2006;9.54
2007;9.85
2008;9.48
2009;9.18
2010;7.85
2011;9.64
2012;9.09
2013;8.71
2014;10.33
2015;9.94
2016;9.55
2017;9.58
2018;10.45
2019;10.28
2020;10.43
2021;9.16
2022;10.52
