year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays
1931,6.92,1042.0,-999,-999,-999,-999,-999
1932,7.61,967.0,-999,-999,-999,-999,-999
1933,6.85,789.0,-999,-999,-999,-999,-999
1934,8.56,907.0,-999,-999,-999,-999,-999
1935,7.67,1092.0,-999,-999,-999,-999,-999
1936,7.68,1020.0,-999,-999,-999,-999,-999
1937,7.83,925.0,-999,-999,-999,-999,-999
1938,7.75,1075.0,5,20,0,90,18
1939,7.67,1123.5,1,22,0,110,17
1940,5.94,1145.8,0,9,0,118,51
1941,6.8,1114.0,10,22,0,113,33
1942,6.71,838.6,3,24,0,114,43
1943,7.95,944.4,8,25,0,95,13
1944,7.4,1303.9,7,25,0,95,17
1947,8.05,968.6,29,64,0,113,39
1948,8.38,1146.6,5,18,0,80,12
1949,8.29,897.1,1,30,0,101,9
1950,7.85,1111.6,5,24,0,89,25
1951,7.97,1044.9,1,18,0,103,3
1952,7.13,1236.2,9,25,0,123,18
1953,8.13,843.7,1,26,0,104,19
1954,7.17,1356.3,1,16,0,108,20
1955,6.73,1114.8,0,18,0,124,21
1956,6.3,1436.5,0,8,0,116,33
1957,7.95,1278.8,9,22,0,86,10
1958,7.64,1386.9,1,24,0,99,16
1959,8.21,723.5,4,46,0,112,11
1960,7.71,1563.4,0,12,0,84,19
1961,8.2,1548.3,3,22,0,80,14
1962,6.29,1124.9,0,12,0,108,26
1963,6.16,837.9,2,15,0,125,53
1964,7.47,888.7,7,37,0,111,14
1965,6.58,1511.6,0,7,0,123,20
1966,7.85,1591.1,1,21,0,93,15
1967,8.12,1142.7,0,24,0,89,13
1968,7.38,1050.6,2,16,0,118,25
1969,7.22,966.8,4,29,0,124,31
1970,7.11,1298.0,0,24,0,106,32
1971,7.58,755.7,3,29,0,108,18
1972,6.98,905.8,4,18,0,123,8
1973,7.46,988.5,4,37,0,133,10
1974,7.93,1350.4,1,10,0,68,0
1975,8.12,888.5,9,36,0,85,5
1976,7.65,885.0,13,40,0,116,22
1977,7.92,1109.7,1,14,0,89,7
1978,7.07,1054.0,1,16,0,104,19
1979,6.83,1199.0,1,18,0,123,21
1980,7.15,1191.4,0,15,0,106,21
1981,7.4,1344.6,0,18,0,104,22
1982,8.11,985.7,2,35,0,103,10
1983,8.09,1183.1,7,47,0,96,16
1984,7.41,1338.9,4,17,0,105,6
1985,6.52,1004.4,1,13,0,124,45
1986,7.13,1262.7,3,26,0,96,31
1987,6.95,1177.2,2,15,0,104,32
1988,8.38,1273.3,0,14,0,85,6
1989,8.72,956.3,3,32,0,86,1
1990,8.62,1024.9,5,26,0,72,5
1991,7.42,966.5,3,21,0,115,15
1992,8.41,1178.8,3,29,0,87,8
1993,7.71,1325.7,0,22,0,103,17
1994,9.02,1387.2,14,34,0,67,5
1995,8.34,1183.2,7,42,0,94,18
1996,6.71,859.9,3,18,0,120,35
1997,8.32,997.8,2,25,0,88,13
1998,8.38,1498.8,5,19,0,81,12
1999,8.83,1214.1,1,35,0,83,8
2005,8.22,1148.9,2,32,0,90,26
2006,8.56,1269.4,9,41,0,92,16
2007,8.86,1625.4,2,19,0,83,3
2008,8.18,1114.5,1,16,0,102,6
2009,8.21,1120.0,1,26,0,93,23
2010,6.96,1157.7,8,27,0,125,62
2011,8.81,1025.1,1,24,0,96,7
2012,8.05,1061.5,2,23,0,93,21
2013,7.72,861.8,7,26,0,112,33
2014,9.41,1015.5,2,22,0,73,1
2016,8.55,881.2,7,29,0,93,5
2017,8.66,1181.6,3,24,0,95,12
2018,9.24,-999.0,12,50,0,92,12
2019,9.0,-999.0,13,37,0,103,7
2020,9.44,947.6,7,33,0,82,1
2021,8.14,1012.2,2,17,0,110,9
2022,9.59,1013.2,11,52,0,91,7
2023,10.608394160583941,-10.818978102189785,2,36,0,61,5
