year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1948,10.35,512.3,14,35,2,55,18,10
1949,10.765,482.2,16,60,0,71,13,4
1950,10.021,659.7,10,42,0,78,21,20
1951,10.181,603.0,6,39,0,54,6,12
1952,9.831,630.8,16,47,4,79,13,20
1953,10.473,334.4,11,47,0,64,8,12
1954,9.475,582.8,6,28,0,58,24,10
1955,9.164,607.9,2,34,0,99,18,41
1956,8.562,600.6,1,21,0,87,32,31
1957,10.16,575.7,8,29,1,66,12,2
1958,9.925,699.8,0,33,0,70,8,20
1959,10.858,341.5,19,77,0,77,7,14
1960,10.261,591.4,2,32,0,57,8,12
1961,10.55,610.1,12,40,0,54,16,16
1962,9.391,414.2,8,46,0,89,18,27
1963,8.85,520.5,6,50,0,98,50,69
1964,10.097,475.8,21,63,2,80,17,22
1965,9.236,915.5,2,27,0,77,4,17
1966,10.368,753.8,5,41,0,54,15,1
1967,10.506,657.2,11,51,0,60,9,8
1968,9.777,757.7,2,32,0,67,13,26
1969,9.596,574.7,8,48,3,79,28,54
1970,9.639,693.2,4,39,0,78,19,55
1971,10.493,459.4,11,52,4,54,17,26
1972,9.665,530.6,8,28,2,57,13,11
1973,10.495,405.9,17,62,2,61,5,12
1974,10.81,630.1,5,39,1,15,0,0
1975,10.813,573.3,12,56,3,45,2,1
1976,10.999,368.2,25,73,5,58,14,19
1977,10.528,667.5,2,35,0,35,3,13
1978,9.677,707.0,3,31,0,55,13,16
1979,9.713,698.2,4,39,0,60,18,48
1980,9.703,594.5,3,31,0,61,14,11
1981,10.081,958.3,8,33,0,74,17,34
1982,10.685,516.3,17,66,2,57,15,22
1983,10.818,528.4,19,61,4,63,13,1
1984,9.842,646.6,7,39,0,48,2,5
1985,9.179,490.1,3,36,0,85,33,49
1986,9.876,667.1,9,51,3,67,21,33
1987,9.359,716.2,3,34,0,69,25,24
1988,10.937,635.5,7,51,1,33,2,10
1989,10.967,641.8,11,67,1,49,5,0
1990,11.133,589.8,13,50,0,33,3,8
1991,10.286,480.6,20,62,4,70,15,19
1992,11.03,609.9,16,69,1,46,6,0
1993,10.524,587.7,13,50,0,68,17,5
1994,11.841,473.5,24,58,5,33,2,5
1995,10.83,824.3,23,63,0,52,8,6
1996,9.318,511.4,8,49,0,71,23,38
1997,10.77,495.7,17,63,1,48,16,25
1998,10.867,730.2,18,50,0,60,8,12
1999,11.397,648.9,16,68,1,44,3,19
2000,11.488,761.1,9,57,0,25,5,3
2001,10.972,733.9,19,62,2,59,3,13
2002,11.394,798.7,9,52,1,39,16,20
2003,11.724,437.4,34,98,9,69,10,5
2004,10.95,540.4,15,60,1,62,6,12
2005,11.31,565.5,27,63,3,67,8,28
2006,11.607,589.8,29,76,9,59,11,12
2007,11.846,612.5,12,60,2,32,6,1
2008,10.084,548.6,0,25,0,62,4,3
2009,10.747,571.1,6,40,0,59,19,0
2010,9.495,634.1,12,39,4,88,45,0
2011,11.309,489.1,3,53,0,50,8,0
2012,10.73,536.6,9,51,4,50,17,0
2013,10.169,588.4,11,46,4,72,20,0
2014,11.808,578.3,7,39,2,19,1,0
2015,11.532,377.4,24,54,8,35,2,0
2016,10.895,667.7,13,55,0,44,8,0
2017,11.169,577.9,14,53,1,46,9,0
2018,12.334,458.7,31,93,8,49,9,0
2019,11.711,528.0,19,63,8,33,5,0
2020,12.123,404.2,19,69,7,29,1,0
2021,10.586,581.9,6,46,1,42,7,0
2022,12.362,533.0,30,85,3,39,7,0
2023,11.938,315.3,9,47,3,31,0,0
