year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1859,9.556,0.0,0,0,0,365,365,0
1860,7.174,0.0,0,0,0,336,336,0
1861,7.071,0.0,0,0,0,365,365,0
1862,7.913,0.0,0,0,0,304,304,0
1863,9.484,0.0,0,0,0,365,365,0
1864,7.078,0.0,0,0,0,366,366,0
1865,8.501,0.0,0,0,0,365,365,0
1866,9.368,0.0,0,0,0,365,365,0
1867,9.773,0.0,0,0,0,153,153,0
1868,9.834,0.0,0,0,0,366,366,0
1869,8.379,0.0,0,0,0,365,365,0
1870,1.865,0.0,0,0,0,31,31,0
1897,7.548,253.5,0,0,0,12,0,0
1898,9.099,676.4,1,11,0,16,0,0
1899,8.938,639.8,0,6,0,55,11,19
1900,8.822,638.0,0,12,0,53,7,13
1901,8.478,589.9,1,7,0,75,25,21
1902,7.734,589.4,0,5,0,64,20,7
1903,8.874,772.3,0,4,0,41,13,3
1904,8.711,589.2,1,7,0,49,6,9
1905,8.53,597.6,0,5,0,48,14,2
1906,8.904,720.5,1,9,0,49,10,11
1907,8.183,576.7,0,3,0,61,15,29
1908,8.181,501.8,0,6,0,67,14,1
1909,8.028,807.7,0,2,0,81,17,11
1910,9.35,782.6,0,1,0,26,1,8
1911,9.698,537.9,3,17,0,36,0,0
1912,8.801,707.3,2,8,0,37,15,20
1913,9.296,546.2,0,6,0,37,6,1
1914,9.637,748.0,0,11,0,31,6,1
1915,8.243,857.8,1,2,0,57,4,12
1916,8.58,645.7,0,1,0,51,5,8
1917,8.114,832.9,2,9,0,86,29,13
1918,8.902,621.6,0,4,0,50,2,9
1919,7.616,703.6,0,4,0,74,23,39
1920,8.984,706.4,0,1,0,52,8,15
1921,9.648,521.4,1,9,0,44,7,0
1922,8.256,497.2,1,4,0,58,24,3
1923,8.576,654.6,5,11,7,39,14,0
1924,8.203,558.7,0,4,0,79,24,0
1925,9.224,802.0,2,15,0,65,10,12
1926,9.306,784.3,1,5,0,38,11,10
1927,8.587,827.2,0,5,0,62,20,13
1928,8.973,655.0,0,7,0,58,7,7
1929,7.735,495.4,0,7,0,95,41,18
1930,9.278,720.6,0,8,0,53,3,0
1931,8.744,792.6,0,5,0,52,14,8
1932,9.347,741.4,0,7,0,47,5,2
1933,8.999,630.6,0,1,0,60,28,13
1934,10.075,657.2,0,3,0,28,1,0
1935,9.383,804.7,0,5,0,44,7,3
1936,9.184,660.4,0,10,0,31,2,1
1937,9.09,766.4,0,8,0,56,13,1
1938,9.635,716.5,0,10,1,36,12,10
1939,9.228,741.9,0,6,0,44,9,11
1940,7.433,745.1,0,2,0,88,43,56
1941,6.865,461.6,2,4,0,74,30,7
1942,8.97,558.3,0,9,0,59,29,0
1943,10.997,457.5,0,7,0,17,2,1
1944,9.373,812.5,1,7,1,41,1,2
1945,9.878,691.9,1,8,0,46,34,18
1946,8.678,739.5,1,3,0,60,25,24
1947,8.739,650.1,3,19,1,77,58,61
1948,9.613,621.2,0,5,1,41,10,7
1949,9.786,671.1,1,5,0,21,3,4
1950,9.174,923.4,0,8,0,43,14,9
1951,9.253,682.4,0,4,0,34,3,10
1952,8.598,833.2,0,4,0,56,3,9
1953,9.67,595.7,1,8,0,35,8,12
1954,8.598,836.6,0,5,0,54,24,18
1955,8.667,608.6,0,2,0,70,15,44
1956,7.866,679.2,0,1,0,65,29,36
1957,9.426,798.8,0,5,0,27,3,4
1958,9.009,689.2,0,4,0,53,8,15
1959,9.75,384.2,2,12,0,45,11,12
1960,9.127,824.2,0,1,0,42,6,11
1961,9.54,785.9,0,3,0,32,16,1
1962,8.005,669.9,0,3,0,57,18,15
1963,7.631,716.1,1,2,0,88,55,74
1964,8.653,595.2,2,5,0,68,16,8
1965,8.482,923.3,0,0,0,42,8,18
1966,8.865,983.7,0,4,0,47,25,30
1967,9.896,866.5,0,4,0,21,1,4
1968,9.013,862.1,0,5,0,56,14,16
1969,8.675,765.7,1,10,0,81,29,43
1970,8.47,772.0,0,4,0,79,23,40
1971,9.23,605.4,0,4,0,26,14,11
1972,8.686,657.0,0,6,0,50,14,11
1973,9.452,826.3,2,6,0,26,1,8
1974,9.662,911.7,0,3,0,10,1,0
1975,9.799,624.0,3,13,3,22,0,0
1976,9.187,577.2,0,11,0,58,15,38
1977,9.372,710.3,0,0,0,26,3,9
1978,8.645,837.2,0,7,0,47,20,16
1979,8.039,883.3,0,2,0,73,33,75
1980,8.636,832.9,0,3,0,56,14,27
1981,8.965,923.6,0,4,0,56,15,38
1982,9.324,647.3,1,15,0,48,12,21
1983,9.766,757.9,1,8,0,34,4,7
1984,8.796,738.5,1,6,0,46,5,16
1985,8.133,717.4,1,6,0,80,31,36
1986,8.727,776.3,1,7,0,62,27,36
1987,8.202,760.7,0,4,0,71,24,31
1988,9.927,1018.8,0,1,0,13,2,4
1989,10.355,575.2,1,9,0,19,3,0
1990,10.56,765.1,2,4,0,9,2,0
1991,9.298,563.8,1,8,0,40,13,17
1992,10.263,764.9,1,13,0,16,6,0
1993,8.882,768.3,0,0,0,50,14,7
1994,9.97,889.5,5,17,4,24,9,6
1995,9.605,826.8,1,11,0,43,15,17
1996,7.82,512.8,0,11,0,85,38,23
1997,9.582,502.4,4,16,2,35,13,0
1998,9.685,937.3,1,5,0,30,6,1
1999,10.514,731.4,0,12,0,18,0,10
2000,10.25,644.5,1,5,1,15,3,1
2001,9.888,923.2,2,10,0,41,7,14
2002,10.374,851.8,1,14,0,29,13,0
2003,9.937,598.6,3,16,2,43,10,10
2004,10.04,850.8,4,10,1,33,2,4
2005,10.156,656.8,1,9,0,36,2,14
2006,10.673,738.6,4,17,3,51,7,10
2007,10.993,816.2,0,7,0,13,1,5
2008,10.384,900.1,3,10,0,26,3,1
2009,10.021,653.9,1,7,0,36,6,12
2010,8.498,749.0,3,10,0,92,37,64
2011,10.037,797.2,1,7,0,38,4,1
2012,9.738,888.8,0,7,1,25,13,17
2013,9.277,698.7,1,8,1,53,14,26
