year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1898,10.144,456.1,5,33,0,46,1,9
1899,10.335,473.3,4,30,0,48,8,6
1900,9.985,492.2,6,34,1,65,16,33
1901,9.406,429.0,4,40,0,77,27,52
1902,8.868,495.9,3,25,0,55,11,21
1903,10.46,384.7,3,31,0,37,10,12
1904,10.034,349.5,8,35,0,55,18,19
1905,9.652,543.9,6,41,1,55,10,13
1906,10.473,658.2,4,39,0,48,7,20
1907,9.411,475.6,4,22,0,60,17,31
1908,9.297,462.4,8,33,0,79,15,16
1909,9.169,467.6,1,20,0,82,25,50
1910,10.29,457.7,2,27,0,54,1,8
1911,11.32,200.3,21,57,0,56,5,11
1912,9.401,525.4,3,23,0,41,17,28
1913,10.331,314.2,0,29,0,55,10,10
1914,10.4,548.5,5,30,0,40,16,13
1915,9.634,433.3,5,30,0,74,12,40
1936,10.443,468.1,2,29,0,46,5,5
1937,10.566,587.7,5,43,0,49,14,30
1938,11.092,406.3,13,54,0,36,6,18
1939,10.658,606.2,5,56,0,54,4,17
1940,7.931,424.7,0,24,0,84,50,57
1943,10.891,359.0,14,39,1,60,9,10
1944,10.554,312.1,10,39,1,56,5,14
1945,0.658,63.5,0,0,0,31,13,13
1952,10.041,564.1,6,37,1,66,8,19
1953,10.992,323.1,8,42,1,68,11,34
1954,9.276,437.1,6,23,0,72,34,21
1955,8.978,591.5,1,25,0,91,27,41
1956,8.14,573.2,0,13,0,79,34,41
1957,10.563,514.1,10,32,3,43,5,8
1958,9.945,439.3,1,24,0,74,8,12
1959,10.818,364.5,5,48,1,55,10,20
1960,9.638,456.1,2,22,0,55,16,19
1961,10.592,520.5,5,32,0,27,9,11
1962,8.903,313.8,1,23,0,64,14,17
1963,8.843,334.2,8,40,0,79,51,65
1964,9.275,392.8,16,46,1,81,23,31
1965,8.888,440.3,0,17,0,69,20,44
1966,9.863,550.8,6,35,0,57,27,43
1967,10.621,487.1,3,32,0,45,9,9
1968,10.024,451.3,4,44,0,69,14,26
1969,9.849,383.0,13,44,0,81,20,26
1970,9.0,692.6,4,32,1,83,25,65
1971,3.712,52.4,0,0,0,46,11,20
1972,9.501,459.0,5,28,0,57,14,11
1973,10.385,306.9,6,43,0,50,2,9
1974,10.502,460.3,4,19,0,32,1,0
1975,11.062,351.8,10,48,0,43,5,1
1976,10.507,289.4,10,52,0,67,18,27
1977,10.487,553.4,0,14,0,42,8,17
1978,9.958,349.6,5,24,0,51,14,24
1979,9.084,438.6,5,28,0,84,32,65
1980,9.366,458.3,2,21,0,73,20,34
1981,10.618,525.2,2,33,0,65,12,35
1982,10.47,189.7,4,48,0,59,18,5
1983,11.309,499.8,18,61,0,39,11,15
1984,9.822,491.1,3,23,1,58,6,16
1985,9.039,323.0,2,33,0,78,36,44
1986,9.314,468.2,9,38,1,56,33,49
1987,8.778,513.4,2,18,0,73,33,65
1988,11.109,333.4,4,40,0,54,0,10
1989,11.861,335.3,9,51,0,38,1,0
1990,11.844,396.4,10,42,1,25,3,1
1991,10.3,304.8,7,39,0,58,15,15
1992,11.419,420.8,16,65,1,40,6,4
1993,10.225,446.3,0,35,0,63,12,8
1994,11.262,596.9,21,50,3,36,8,10
1995,11.031,444.9,19,55,0,56,5,13
1996,8.706,529.0,3,29,0,87,37,36
1997,10.59,374.9,9,52,0,60,12,27
1998,11.292,487.9,9,35,1,39,5,7
1999,11.398,439.5,5,49,0,51,8,20
2000,11.546,419.2,7,43,0,30,3,9
2001,10.81,592.7,11,39,0,58,8,23
2002,11.485,546.7,9,46,0,37,5,6
2003,11.113,371.1,28,66,2,75,15,19
2004,10.687,506.8,6,35,0,65,8,19
2005,10.858,563.9,14,52,0,60,13,27
2006,10.901,328.8,24,70,0,76,17,21
2007,11.745,620.5,12,53,0,29,3,10
2008,11.407,465.0,16,52,0,35,3,5
2009,10.881,496.4,10,54,0,56,10,28
2010,9.676,701.0,16,47,1,74,34,63
2011,11.082,484.4,6,63,0,70,15,12
2012,10.721,463.3,15,59,1,54,18,19
2013,10.12,569.5,16,55,0,84,23,56
2014,11.979,518.4,14,46,0,37,8,14
2015,11.345,444.2,25,53,0,58,2,9
2016,11.609,344.7,20,80,0,51,9,15
2017,11.473,460.5,14,63,0,53,12,19
2018,12.344,311.0,43,113,1,57,7,11
2019,12.196,394.4,32,84,0,45,3,7
2020,12.558,421.5,18,68,2,34,1,0
2021,10.849,505.6,10,64,0,59,10,25
2022,12.403,304.4,30,81,1,51,0,1
2023,12.37,514.1,17,75,0,41,3,3
