year,month,averageTemperature,totalPrecipitation,averageSnowCover
1949,1,1.326,0.0,0.0
1949,2,2.268,0.0,0.0
1949,3,1.51,0.0,0.0
1949,4,9.993,0.0,0.0
1949,5,13.642,0.0,0.0
1949,6,14.58,0.0,0.0
1949,7,18.326,0.0,0.0
1949,8,17.3,0.0,0.0
1949,9,16.333,0.0,0.0
1949,10,9.774,0.0,0.0
1949,11,3.483,0.0,0.0
1949,12,3.316,0.0,0.0
1950,1,-2.442,0.0,0.0
1950,2,2.196,0.0,0.0
1950,3,4.352,0.0,0.0
1950,4,7.047,0.0,0.0
1950,5,14.584,0.0,0.0
1950,6,17.82,0.0,0.0
1950,7,17.687,0.0,0.0
1950,8,18.368,0.0,0.0
1950,9,13.093,0.0,0.0
1950,10,7.552,0.0,0.0
1950,11,4.11,0.0,0.0
1950,12,-1.306,0.0,0.0
1951,1,0.281,60.3,17.0
1951,2,1.171,30.4,12.0
1951,3,1.561,58.0,6.0
1951,4,7.8,38.7,0.0
1951,5,11.497,67.2,0.0
1951,6,16.603,61.1,0.0
1951,7,17.819,42.2,0.0
1951,8,18.413,31.9,0.0
1951,9,14.843,28.4,0.0
1951,10,6.548,2.2,0.0
1951,11,6.54,57.7,0.0
1951,12,3.629,27.3,0.0
1952,1,0.855,52.7,18.0
1952,2,0.634,20.4,68.0
1952,3,0.316,25.2,14.0
1952,4,10.433,14.4,15.0
1952,5,12.416,45.2,0.0
1952,6,15.157,56.2,0.0
1952,7,17.616,47.8,0.0
1952,8,17.858,30.8,0.0
1952,9,10.91,64.2,0.0
1952,10,7.094,47.6,0.0
1952,11,1.527,54.9,44.0
1952,12,-0.987,44.1,203.0
1953,1,0.352,63.3,176.0
1953,2,-0.071,28.4,176.0
1953,3,4.703,12.4,0.0
1953,4,9.2,8.2,0.0
1953,5,13.703,69.9,0.0
1953,6,17.83,133.8,0.0
1953,7,18.71,32.3,0.0
1953,8,17.029,28.4,0.0
1953,9,13.36,32.5,0.0
1953,10,10.31,11.9,0.0
1953,11,4.943,18.1,0.0
1953,12,1.281,18.2,2.0
1954,1,-3.603,36.4,97.0
1954,2,-6.175,15.8,24.0
1954,3,3.252,31.4,1.0
1954,4,5.56,41.6,0.0
1954,5,13.416,20.3,0.0
1954,6,17.613,32.1,0.0
1954,7,15.313,106.9,0.0
1954,8,16.568,85.7,0.0
1954,9,13.787,68.7,0.0
1954,10,10.158,58.4,0.0
1954,11,2.95,39.5,4.0
1954,12,3.468,64.3,1.0
1955,1,-2.552,25.3,83.0
1955,2,-3.229,25.1,122.0
1955,3,-0.51,41.6,70.0
1955,4,6.12,27.6,1.0
1955,5,10.835,26.2,0.0
1955,6,14.797,72.6,0.0
1955,7,18.448,107.1,0.0
1955,8,18.074,108.0,0.0
1955,9,13.757,28.4,0.0
1955,10,8.355,55.9,0.0
1955,11,4.3,15.7,2.0
1955,12,2.435,69.7,13.0
1956,1,-0.052,36.8,7.0
1956,2,-9.445,37.9,376.0
1956,3,2.532,19.9,7.0
1956,4,4.663,69.1,5.0
1956,5,13.116,22.8,0.0
1956,6,14.597,80.0,0.0
1956,7,17.861,56.9,0.0
1956,8,14.513,74.9,0.0
1956,9,13.63,48.2,0.0
1956,10,8.535,71.3,0.0
1956,11,2.03,43.3,0.0
1956,12,1.765,33.0,54.0
1957,1,0.977,26.4,20.0
1957,2,3.354,29.2,0.0
1957,3,4.613,38.6,1.0
1957,4,7.107,10.8,0.0
1957,5,10.2,48.4,0.0
1957,6,17.473,32.9,0.0
1957,7,18.771,64.3,0.0
1957,8,15.684,54.8,0.0
1957,9,11.46,76.1,0.0
1957,10,9.619,18.1,0.0
1957,11,4.767,16.8,0.0
1957,12,0.197,28.2,13.0
1958,1,-1.087,35.2,19.0
1958,2,0.993,58.6,70.0
1958,3,-0.213,14.2,25.0
1958,4,5.187,30.5,4.0
1958,5,13.484,95.0,0.0
1958,6,14.927,73.6,0.0
1958,7,18.006,31.2,0.0
1958,8,16.735,65.4,0.0
1958,9,13.923,49.3,0.0
1958,10,9.781,30.9,0.0
1958,11,4.267,12.7,0.0
1958,12,1.903,34.1,18.0
1959,1,-0.197,34.8,149.0
1959,2,-0.471,4.2,12.0
1959,3,5.877,9.0,0.0
1959,4,9.503,34.8,0.0
1959,5,13.081,27.5,0.0
1959,6,17.17,31.8,0.0
1959,7,19.9,81.7,0.0
1959,8,18.432,39.1,0.0
1959,9,12.517,12.1,0.0
1959,10,7.519,46.1,0.0
1959,11,2.91,31.2,21.0
1959,12,1.081,40.2,39.0
1960,1,-0.145,54.7,236.0
1960,2,-1.545,21.1,22.0
1960,3,3.045,13.0,0.0
1960,4,6.647,22.8,0.0
1960,5,13.465,35.5,0.0
1960,6,17.233,65.4,0.0
1960,7,16.352,76.7,0.0
1960,8,16.223,97.0,0.0
1960,9,12.903,26.1,0.0
1960,10,8.613,79.8,0.0
1960,11,5.637,72.7,0.0
1960,12,2.048,64.9,30.0
1961,1,-1.623,45.9,49.0
1961,2,4.132,55.3,2.0
1961,3,6.287,37.0,3.0
1961,4,10.38,30.1,1.0
1961,5,11.01,105.7,0.0
1961,6,17.773,37.1,0.0
1961,7,16.01,81.6,0.0
1961,8,15.777,75.0,0.0
1961,9,15.223,41.4,0.0
1961,10,10.719,51.0,0.0
1961,11,3.643,50.9,0.0
1961,12,-1.813,50.5,38.0
1962,1,2.026,41.4,10.0
1962,2,0.621,53.2,24.0
1962,3,0.19,30.3,47.0
1962,4,9.007,29.8,0.0
1962,5,10.335,38.5,0.0
1962,6,14.873,22.9,0.0
1962,7,15.165,121.5,0.0
1962,8,15.455,68.5,0.0
1962,9,11.82,50.6,0.0
1962,10,8.726,9.6,0.0
1962,11,3.237,30.6,71.0
1962,12,-3.365,39.4,24.0
1963,1,-8.206,13.9,219.0
1963,2,-6.118,11.6,444.0
1963,3,1.758,15.6,52.0
1963,4,7.933,80.6,0.0
1963,5,13.397,50.6,0.0
1963,6,17.48,34.1,0.0
1963,7,18.758,33.4,0.0
1963,8,17.323,81.4,0.0
1963,9,13.77,25.2,0.0
1963,10,8.206,32.4,0.0
1963,11,7.393,86.5,0.0
1963,12,-3.203,11.5,69.0
1964,1,-2.406,18.8,21.0
1964,2,-0.686,24.7,27.0
1964,3,-0.448,20.6,3.0
1964,4,8.72,56.1,0.0
1964,5,13.629,62.2,0.0
1964,6,18.083,67.5,0.0
1964,7,18.687,29.4,0.0
1964,8,15.9,120.8,0.0
1964,9,13.22,49.4,0.0
1964,10,6.948,49.8,0.0
1964,11,4.867,62.5,0.0
1964,12,0.935,38.0,60.0
1965,1,1.042,47.4,23.0
1965,2,-1.55,43.0,107.0
1965,3,1.135,49.2,278.0
1965,4,7.093,72.1,0.0
1965,5,11.487,62.8,0.0
1965,6,16.84,36.5,0.0
1965,7,15.355,95.7,0.0
1965,8,15.403,32.3,0.0
1965,9,13.487,50.4,0.0
1965,10,7.497,15.1,0.0
1965,11,0.25,76.0,132.0
1965,12,1.935,77.1,23.0
1966,1,-2.942,47.4,261.0
1966,2,0.014,80.7,139.0
1966,3,3.458,28.9,3.0
1966,4,7.903,43.2,5.0
1966,5,13.561,44.7,0.0
1966,6,18.18,153.9,0.0
1966,7,17.213,74.8,0.0
1966,8,16.697,87.4,0.0
1966,9,12.5,23.1,0.0
1966,10,10.613,15.4,0.0
1966,11,2.253,44.6,1.0
1966,12,1.897,85.8,33.0
1967,1,-0.013,61.0,43.0
1967,2,2.807,70.9,1.0
1967,3,5.761,57.0,0.0
1967,4,6.657,16.7,0.0
1967,5,13.955,25.6,0.0
1967,6,15.67,96.6,0.0
1967,7,19.332,64.1,0.0
1967,8,17.026,42.1,0.0
1967,9,14.977,61.6,0.0
1967,10,11.106,44.5,0.0
1967,11,4.137,46.5,9.0
1967,12,0.971,63.1,57.0
1968,1,-1.497,45.0,134.0
1968,2,0.341,13.5,12.0
1968,3,4.316,46.6,16.0
1968,4,9.603,9.8,0.0
1968,5,11.235,85.7,0.0
1968,6,18.037,63.6,0.0
1968,7,17.097,69.0,0.0
1968,8,17.974,35.1,0.0
1968,9,14.013,141.4,0.0
1968,10,10.026,45.2,0.0
1968,11,4.267,58.8,9.0
1968,12,-2.577,24.9,86.0
1969,1,-2.165,34.7,142.0
1969,2,-3.239,43.2,392.0
1969,3,-0.961,22.6,208.0
1969,4,7.047,55.1,2.0
1969,5,13.342,58.4,0.0
1969,6,16.513,118.5,0.0
1969,7,19.368,11.0,0.0
1969,8,17.487,133.1,0.0
1969,9,14.07,8.2,0.0
1969,10,9.732,13.2,0.0
1969,11,5.57,64.6,1.0
1969,12,-6.445,15.6,174.0
1970,1,-5.065,25.9,347.0
1970,2,-2.811,48.0,244.0
1970,3,0.4,65.4,375.0
1970,4,5.46,88.1,16.0
1970,5,12.226,59.4,2.0
1970,6,18.31,53.6,0.0
1970,7,17.068,57.0,0.0
1970,8,18.068,6.1,0.0
1970,9,12.567,41.1,0.0
1970,10,9.203,61.2,0.0
1970,11,5.127,56.5,0.0
1970,12,1.71,38.6,53.0
1971,1,-1.597,18.1,136.0
1971,2,1.893,20.6,7.0
1971,3,1.019,20.4,60.0
1971,4,7.473,14.7,0.0
1971,5,14.894,57.2,0.0
1971,6,15.02,106.4,0.0
1971,7,19.097,10.7,0.0
1971,8,19.413,11.3,0.0
1971,9,12.133,44.8,0.0
1971,10,9.106,14.4,0.0
1971,11,4.14,23.6,18.0
1971,12,4.71,41.8,4.0
1972,1,-4.158,13.5,42.0
1972,2,0.8,3.4,49.0
1972,3,4.894,25.8,0.0
1972,4,7.647,34.5,0.0
1972,5,11.777,133.6,0.0
1972,6,15.68,62.8,0.0
1972,7,19.061,52.5,0.0
1972,8,16.435,61.9,0.0
1972,9,11.013,37.8,0.0
1972,10,6.519,10.5,0.0
1972,11,5.077,41.4,6.0
1972,12,0.865,8.9,0.0
1973,1,-0.455,23.1,17.0
1973,2,2.407,23.3,3.0
1973,3,4.61,13.4,1.0
1973,4,5.6,57.9,0.0
1973,5,12.661,52.6,0.0
1973,6,16.87,24.7,0.0
1973,7,18.568,90.7,0.0
1973,8,17.384,31.0,0.0
1973,9,13.2,35.3,0.0
1973,10,7.142,52.6,0.0
1973,11,3.177,50.8,32.0
1973,12,0.426,40.1,76.0
1974,1,2.774,34.8,19.0
1974,2,3.332,34.2,1.0
1974,3,4.606,11.0,0.0
1974,4,7.7,39.9,0.0
1974,5,11.49,66.3,0.0
1974,6,14.813,63.3,0.0
1974,7,15.803,57.4,0.0
1974,8,17.658,56.9,0.0
1974,9,13.69,48.1,0.0
1974,10,6.652,98.5,0.0
1974,11,5.283,32.3,0.0
1974,12,5.194,105.8,15.0
1975,1,5.0,34.2,0.0
1975,2,0.621,6.6,0.0
1975,3,3.342,27.3,4.0
1975,4,6.613,42.5,0.0
1975,5,12.613,19.5,0.0
1975,6,15.787,35.1,0.0
1975,7,19.632,61.0,0.0
1975,8,19.694,39.4,0.0
1975,9,15.693,38.9,0.0
1975,10,7.819,25.7,0.0
1975,11,2.457,30.0,33.0
1975,12,2.448,23.8,1.0
1976,1,0.187,113.0,76.0
1976,2,-1.255,14.6,53.0
1976,3,0.597,12.6,9.0
1976,4,6.85,9.0,0.0
1976,5,12.816,46.7,0.0
1976,6,17.34,18.1,0.0
1976,7,19.71,17.0,0.0
1976,8,16.842,25.2,0.0
1976,9,13.143,43.9,0.0
1976,10,8.561,19.9,0.0
1976,11,4.823,41.0,1.0
1976,12,-0.69,25.4,87.0
1977,1,0.113,35.5,55.0
1977,2,2.214,36.3,5.0
1977,3,6.106,39.5,5.0
1977,4,5.7,68.9,0.0
1977,5,11.945,32.3,0.0
1977,6,17.087,51.7,0.0
1977,7,16.674,63.9,0.0
1977,8,16.335,85.5,0.0
1977,9,11.66,51.2,0.0
1977,10,9.255,23.2,0.0
1977,11,5.807,53.6,0.0
1977,12,2.723,44.4,5.0
1978,1,0.774,28.3,14.0
1978,2,-2.343,17.5,94.0
1978,3,4.465,46.3,8.0
1978,4,6.063,9.3,0.0
1978,5,12.955,6.1,0.0
1978,6,16.21,42.8,0.0
1978,7,16.445,32.9,0.0
1978,8,16.723,102.3,0.0
1978,9,12.087,101.6,0.0
1978,10,9.787,28.2,0.0
1978,11,5.823,15.4,1.0
1978,12,-0.9,68.9,30.0
1979,1,-4.739,28.8,714.0
1979,2,-3.786,20.4,931.0
1979,3,2.713,57.7,127.0
1979,4,6.793,29.1,0.0
1979,5,13.574,54.6,0.0
1979,6,17.78,69.4,0.0
1979,7,14.794,78.3,0.0
1979,8,16.384,39.0,0.0
1979,9,13.17,12.3,0.0
1979,10,6.91,20.1,0.0
1979,11,3.44,65.7,0.0
1979,12,3.558,57.3,9.0
1980,1,-5.071,24.0,251.0
1980,2,-0.045,32.7,60.0
1980,3,1.265,16.3,1.0
1980,4,5.663,76.8,0.0
1980,5,10.49,64.3,0.0
1980,6,15.817,75.6,0.0
1980,7,16.358,79.3,0.0
1980,8,16.419,81.9,0.0
1980,9,13.15,22.0,0.0
1980,10,8.442,47.3,0.0
1980,11,3.4,32.3,2.0
1980,12,1.487,32.1,100.0
1981,1,-1.235,38.6,0.0
1981,2,0.414,20.1,0.0
1981,3,6.303,92.7,0.0
1981,4,7.633,11.7,0.0
1981,5,14.755,18.0,0.0
1981,6,16.333,84.7,0.0
1981,7,17.345,71.6,0.0
1981,8,16.774,44.8,0.0
1981,9,14.013,79.8,0.0
1981,10,8.423,81.0,0.0
1981,11,5.173,41.5,0.0
1981,12,-3.339,41.0,0.0
1982,1,-3.606,47.7,0.0
1982,2,-0.907,9.5,0.0
1982,3,4.684,49.4,0.0
1982,4,6.837,22.9,0.0
1982,5,13.206,49.7,0.0
1982,6,16.617,76.9,0.0
1982,7,19.397,18.5,0.0
1982,8,18.665,51.7,0.0
1982,9,15.837,5.8,0.0
1982,10,10.165,39.9,0.0
1982,11,6.14,18.6,0.0
1982,12,2.297,35.6,0.0
1983,1,4.729,59.7,0.0
1983,2,-1.782,22.4,0.0
1983,3,4.855,36.3,0.0
1983,4,8.417,64.3,0.0
1983,5,12.629,137.3,0.0
1983,6,16.367,18.2,0.0
1983,7,20.51,1.0,0.0
1983,8,18.455,48.1,0.0
1983,9,14.137,23.5,0.0
1983,10,9.229,42.3,0.0
1983,11,3.49,41.8,0.0
1983,12,-0.042,38.7,0.0
1984,1,1.139,68.4,0.0
1984,2,-0.424,29.4,0.0
1984,3,1.748,12.9,0.0
1984,4,7.287,35.3,0.0
1984,5,12.671,65.8,0.0
1984,6,13.91,92.3,0.0
1984,7,15.929,39.0,0.0
1984,8,17.842,27.0,0.0
1984,9,12.493,39.8,0.0
1984,10,10.403,38.4,0.0
1984,11,3.493,37.9,0.0
1984,12,-0.09,27.5,0.0
1985,1,-6.261,35.8,0.0
1985,2,-3.946,14.3,0.0
1985,3,2.797,21.7,0.0
1985,4,7.477,64.9,0.0
1985,5,14.21,41.3,0.0
1985,6,14.25,56.5,0.0
1985,7,17.635,16.7,0.0
1985,8,17.087,63.1,0.0
