year;mean_temperatur_germany
1881;7.3
1882;8.4
1883;7.9
1884;8.6
1885;7.8
1886;8.0
1887;7.0
1888;6.9
1889;7.4
1890;7.3
1891;7.4
1892;7.5
1893;7.9
1894;8.1
1895;7.3
1896;7.6
1897;8.0
1898;8.5
1899;8.1
1900;8.4
1901;7.7
1902;7.2
1903;8.4
1904;8.4
1905;8.0
1906;8.3
1907;7.8
1908;7.5
1909;7.4
1910;8.4
1911;9.1
1912;7.9
1913;8.5
1914;8.5
1915;7.9
1916;8.5
1917;7.6
1918;8.6
1919;7.3
1920;8.6
1921;9.0
1922;7.2
1923;8.0
1924;7.5
1925;8.3
1926;8.8
1927;8.1
1928;8.4
1929;7.4
1930;8.8
1931;7.6
1932;8.3
1933;7.6
1934;9.6
1935;8.4
1936;8.4
1937;8.6
1938;8.6
1939;8.3
1940;6.6
1941;7.2
1942;7.3
1943;8.9
1944;8.3
1945;9.0
1946;8.4
1947;8.5
1948;9.1
1949;9.2
1950;8.6
1951;8.7
1952;8.0
1953;8.9
1954;7.7
1955;7.6
1956;6.8
1957;8.6
1958;8.2
1959;9.0
1960;8.4
1961;9.0
1962;7.2
1963;7.1
1964;8.1
1965;7.5
1966;8.5
1967;8.9
1968;8.2
1969;7.8
1970;7.7
1971;8.4
1972;7.8
1973;8.2
1974;8.8
1975;8.9
1976;8.5
1977;8.7
1978;7.8
1979;7.7
1980;7.6
1981;8.2
1982;8.9
1983;9.0
1984;8.0
1985;7.4
1986;7.9
1987;7.4
1988;9.1
1989;9.5
1990;9.5
1991;8.4
1992;9.4
1993;8.5
1994;9.7
1995;8.9
1996;7.2
1997;8.9
1998;9.1
1999;9.5
2000;9.9
2001;9.0
2002;9.6
2003;9.4
2004;8.9
2005;9.0
2006;9.6
2007;9.9
2008;9.5
2009;9.2
2010;7.9
2011;9.6
2012;9.1
2013;8.7
2014;10.3
2015;9.9
2016;9.5
2017;9.6
2018;10.5
2019;10.3
2020;10.4
2021;9.2
2022;10.5
