Date,day,month,week
2019-04-14,414.86,,413.82
2019-04-15,412.88,,413.82
2019-04-16,413.31,,413.82
2019-04-17,413.85,,413.82
2019-04-18,413.64,,413.82
2019-04-19,414.08,,413.82
2019-04-20,414.1,,413.82
2019-04-21,413.85,,413.99
2019-04-22,414.36,,413.99
2019-04-23,,,413.99
2019-04-24,413.59,,413.99
2019-04-25,413.9,,413.99
2019-04-26,413.76,,413.99
2019-04-27,414.46,,413.99
2019-04-28,414.43,,414.52
2019-04-29,414.32,,414.52
2019-04-30,414.74,,414.52
2019-05-01,415.1,414.86,414.52
2019-05-02,,414.86,414.52
2019-05-03,415.03,414.86,414.52
2019-05-04,413.49,414.86,414.52
2019-05-05,413.97,414.86,414.54
2019-05-06,414.71,414.86,414.54
2019-05-07,414.46,414.86,414.54
2019-05-08,414.72,414.86,414.54
2019-05-09,414.44,414.86,414.54
2019-05-10,414.48,414.86,414.54
2019-05-11,414.98,414.86,414.54
2019-05-12,415.5,414.86,415.62
2019-05-13,415.62,414.86,415.62
2019-05-14,415.48,414.86,415.62
2019-05-15,415.87,414.86,415.62
2019-05-16,415.8,414.86,415.62
2019-05-17,415.45,414.86,415.62
2019-05-18,,414.86,415.62
2019-05-19,414.97,414.86,414.97
2019-05-20,414.96,414.86,414.97
2019-05-21,,414.86,414.97
2019-05-22,414.7,414.86,414.97
2019-05-23,415.1,414.86,414.97
2019-05-24,415.0,414.86,414.97
2019-05-25,415.07,414.86,414.97
2019-05-26,414.28,414.86,414.52
2019-05-27,415.04,414.86,414.52
2019-05-28,414.39,414.86,414.52
2019-05-29,414.35,414.86,414.52
2019-05-30,414.62,414.86,414.52
2019-05-31,414.6,414.86,414.52
2019-06-01,414.38,414.16,414.52
2019-06-02,414.48,414.16,414.62
2019-06-03,414.63,414.16,414.62
2019-06-04,414.51,414.16,414.62
2019-06-05,414.42,414.16,414.62
2019-06-06,,414.16,414.62
2019-06-07,414.65,414.16,414.62
2019-06-08,415.03,414.16,414.62
2019-06-09,414.54,414.16,414.31
2019-06-10,414.49,414.16,414.31
